instance;weight;size;time
BPPC_8_0_2.txt_0.3.bz2;0;0;0
BPPC_2_0_10.txt_0.1.bz2;0;0;0
BPPC_3_0_8.txt_0.3.bz2;0;0;0
BPPC_8_0_8.txt_0.2.bz2;0;0;0
BPPC_1_0_7.txt_0.7.bz2;547;6;2
BPPC_8_0_1.txt_0.8.bz2;2664;6;50
BPPC_8_0_4.txt_0.4.bz2;6467;16;48543
BPPC_1_0_6.txt_0.3.bz2;1230;15;16
BPPC_8_0_8.txt_0.6.bz2;4329;10;318
BPPC_8_0_1.txt_0.7.bz2;3365;9;67
BPPC_7_0_4.txt_0.9.bz2;1899;4;7
BPPC_8_0_8.txt_0.7.bz2;3326;8;67
BPPC_8_0_5.txt_0.5.bz2;5012;12;3042
BPPC_2_0_3.txt_0.6.bz2;792;9;15
BPPC_5_0_9.txt_0.4.bz2;3867;10;0
BPPC_6_0_6.txt_0.4.bz2;4331;10;5
BPPC_3_0_7.txt_0.6.bz2;938;10;296
BPPC_6_0_4.txt_0.5.bz2;3535;10;2
BPPC_5_0_8.txt_0.7.bz2;1968;5;0
BPPC_5_0_2.txt_0.1.bz2;8180;21;1
BPPC_1_0_9.txt_0.5.bz2;872;9;5
BPPC_2_0_9.txt_0.7.bz2;608;7;8
BPPC_5_0_6.txt_0.1.bz2;8614;24;0
BPPC_5_0_9.txt_0.1.bz2;8063;22;0
BPPC_4_0_8.txt_0.1.bz2;0;0;0
BPPC_8_0_4.txt_0.8.bz2;2538;6;46
BPPC_6_0_7.txt_0.2.bz2;7639;21;98
BPPC_3_0_9.txt_0.8.bz2;606;7;41
BPPC_4_0_10.txt_0.1.bz2;0;0;0
BPPC_4_0_10.txt_0.3.bz2;0;0;0
BPPC_7_0_3.txt_0.4.bz2;5405;13;380
BPPC_3_0_4.txt_0.6.bz2;919;10;307
BPPC_2_0_9.txt_0.1.bz2;0;0;0
BPPC_3_0_8.txt_0.4.bz2;1514;16;50092
BPPC_5_0_4.txt_0.1.bz2;8214;23;0
BPPC_7_0_1.txt_0.1.bz2;0;0;0
BPPC_4_0_6.txt_0.5.bz2;1291;14;279197
BPPC_8_0_8.txt_0.1.bz2;0;0;0
BPPC_6_0_4.txt_0.9.bz2;1540;4;1
BPPC_4_0_8.txt_0.8.bz2;697;7;205
BPPC_4_0_1.txt_0.4.bz2;0;0;0
BPPC_2_0_8.txt_0.4.bz2;1259;14;296
BPPC_5_0_8.txt_0.3.bz2;4294;12;0
BPPC_5_0_2.txt_0.2.bz2;5920;16;0
BPPC_7_0_9.txt_0.4.bz2;5472;14;334
BPPC_3_0_9.txt_0.9.bz2;445;5;40
BPPC_5_0_6.txt_0.6.bz2;2336;6;0
BPPC_6_0_10.txt_0.2.bz2;7544;20;100
BPPC_6_0_1.txt_0.9.bz2;1488;4;2
BPPC_8_0_8.txt_0.3.bz2;0;0;0
BPPC_5_0_8.txt_0.6.bz2;2620;6;1
BPPC_6_0_1.txt_0.7.bz2;2469;6;1
BPPC_2_0_2.txt_0.9.bz2;398;4;10
BPPC_4_0_8.txt_0.3.bz2;0;0;0
BPPC_5_0_10.txt_0.3.bz2;4483;12;0
BPPC_6_0_6.txt_0.6.bz2;2863;7;1
BPPC_2_0_5.txt_0.9.bz2;388;4;10
BPPC_6_0_8.txt_0.7.bz2;2491;6;1
BPPC_4_0_2.txt_0.1.bz2;0;0;0
BPPC_6_0_2.txt_0.7.bz2;2202;6;1
BPPC_4_0_10.txt_0.8.bz2;665;7;206
BPPC_1_0_8.txt_0.4.bz2;998;11;3
BPPC_6_0_5.txt_0.8.bz2;2013;5;1
BPPC_3_0_6.txt_0.9.bz2;481;5;43
BPPC_8_0_3.txt_0.3.bz2;0;0;0
BPPC_7_0_7.txt_0.7.bz2;2862;7;10
BPPC_6_0_7.txt_0.5.bz2;3610;9;2
BPPC_7_0_1.txt_0.5.bz2;4511;10;49
BPPC_3_0_6.txt_0.3.bz2;0;0;0
BPPC_1_0_8.txt_0.6.bz2;619;7;1
BPPC_3_0_7.txt_0.2.bz2;0;0;0
BPPC_3_0_2.txt_0.2.bz2;0;0;0
BPPC_2_0_3.txt_0.4.bz2;1232;14;279
BPPC_5_0_3.txt_0.3.bz2;4419;12;0
BPPC_3_0_4.txt_0.2.bz2;0;0;0
BPPC_8_0_7.txt_0.5.bz2;4966;13;3132
BPPC_8_0_1.txt_0.9.bz2;2064;5;45
BPPC_6_0_6.txt_0.7.bz2;2267;6;1
BPPC_4_0_4.txt_0.3.bz2;0;0;0
BPPC_2_0_4.txt_0.6.bz2;774;9;15
BPPC_7_0_1.txt_0.2.bz2;10119;25;90082
BPPC_6_0_2.txt_0.2.bz2;7407;20;85
BPPC_1_0_2.txt_0.1.bz2;2527;32;837
BPPC_3_0_10.txt_0.3.bz2;0;0;0
BPPC_1_0_6.txt_0.1.bz2;2534;35;798
BPPC_8_0_9.txt_0.2.bz2;0;0;0
BPPC_4_0_1.txt_0.1.bz2;0;0;0
BPPC_7_0_2.txt_0.7.bz2;3088;7;7
BPPC_8_0_2.txt_0.7.bz2;3347;8;74
BPPC_4_0_9.txt_0.9.bz2;490;5;165
BPPC_5_0_8.txt_0.5.bz2;2737;7;0
BPPC_4_0_8.txt_0.4.bz2;0;0;0
BPPC_6_0_7.txt_0.3.bz2;5462;15;21
BPPC_6_0_9.txt_0.3.bz2;5546;14;20
BPPC_2_0_8.txt_0.8.bz2;527;6;7
BPPC_7_0_9.txt_0.5.bz2;4400;12;57
BPPC_5_0_6.txt_0.4.bz2;3511;9;0
BPPC_7_0_9.txt_0.9.bz2;1740;4;9
BPPC_6_0_9.txt_0.7.bz2;2334;6;1
BPPC_3_0_6.txt_0.7.bz2;724;8;68
BPPC_2_0_1.txt_0.8.bz2;479;5;10
BPPC_6_0_10.txt_0.5.bz2;3457;9;2
BPPC_7_0_10.txt_0.5.bz2;4236;10;60
BPPC_8_0_9.txt_0.9.bz2;2060;5;41
BPPC_4_0_4.txt_0.2.bz2;0;0;0
BPPC_8_0_6.txt_0.1.bz2;0;0;0
BPPC_2_0_7.txt_0.4.bz2;1252;13;302
BPPC_4_0_10.txt_0.2.bz2;0;0;0
BPPC_3_0_6.txt_0.5.bz2;1123;12;2952
BPPC_2_0_5.txt_0.8.bz2;519;6;6
BPPC_7_0_10.txt_0.3.bz2;7117;17;3333
BPPC_5_0_1.txt_0.6.bz2;2257;6;0
BPPC_2_0_3.txt_0.5.bz2;995;11;53
BPPC_1_0_10.txt_0.8.bz2;430;5;1
BPPC_5_0_3.txt_0.7.bz2;1971;5;0
BPPC_4_0_9.txt_0.7.bz2;838;9;897
BPPC_1_0_4.txt_0.9.bz2;334;4;1
BPPC_6_0_10.txt_0.8.bz2;2136;5;1
BPPC_4_0_9.txt_0.8.bz2;707;7;202
BPPC_6_0_3.txt_0.7.bz2;2444;6;1
BPPC_3_0_9.txt_0.2.bz2;0;0;0
BPPC_7_0_7.txt_0.8.bz2;2267;5;8
BPPC_2_0_8.txt_0.5.bz2;1000;10;50
BPPC_4_0_6.txt_0.8.bz2;678;7;204
BPPC_3_0_1.txt_0.7.bz2;727;8;67
BPPC_7_0_10.txt_0.8.bz2;2328;6;9
BPPC_5_0_2.txt_0.5.bz2;2883;8;0
BPPC_7_0_3.txt_0.1.bz2;0;0;0
BPPC_3_0_3.txt_0.2.bz2;0;0;0
BPPC_5_0_10.txt_0.2.bz2;5553;15;0
BPPC_4_0_8.txt_0.5.bz2;1273;14;289377
BPPC_7_0_6.txt_0.4.bz2;5337;13;332
BPPC_2_0_10.txt_0.5.bz2;913;11;72
BPPC_1_0_7.txt_0.4.bz2;861;11;6
BPPC_3_0_1.txt_0.3.bz2;0;0;0
BPPC_3_0_8.txt_0.7.bz2;726;8;66
BPPC_7_0_4.txt_0.2.bz2;10219;25;104581
BPPC_6_0_10.txt_0.1.bz2;11992;32;671
BPPC_4_0_3.txt_0.3.bz2;0;0;0
BPPC_3_0_9.txt_0.4.bz2;1439;15;49182
BPPC_2_0_9.txt_0.6.bz2;772;9;16
BPPC_5_0_2.txt_0.7.bz2;1956;5;0
BPPC_2_0_6.txt_0.9.bz2;403;4;7
BPPC_3_0_1.txt_0.5.bz2;1119;12;2761
BPPC_7_0_9.txt_0.3.bz2;7342;19;4236
BPPC_4_0_5.txt_0.4.bz2;0;0;0
BPPC_1_0_1.txt_0.6.bz2;623;7;1
BPPC_7_0_8.txt_0.4.bz2;5308;14;381
BPPC_1_0_4.txt_0.7.bz2;504;6;1
BPPC_3_0_2.txt_0.6.bz2;872;9;323
BPPC_4_0_4.txt_0.9.bz2;500;5;159
BPPC_5_0_1.txt_0.4.bz2;3675;9;0
BPPC_4_0_8.txt_0.6.bz2;1034;11;11052
BPPC_4_0_10.txt_0.7.bz2;830;9;888
BPPC_5_0_4.txt_0.3.bz2;4455;12;0
BPPC_4_0_2.txt_0.5.bz2;1284;13;288453
BPPC_7_0_9.txt_0.8.bz2;2280;6;6
BPPC_1_0_2.txt_0.7.bz2;544;6;1
BPPC_5_0_2.txt_0.3.bz2;4322;11;0
BPPC_1_0_1.txt_0.7.bz2;563;6;1
BPPC_7_0_10.txt_0.7.bz2;2851;7;9
BPPC_5_0_6.txt_0.5.bz2;2823;7;0
BPPC_4_0_5.txt_0.7.bz2;851;9;906
BPPC_5_0_8.txt_0.8.bz2;1454;4;1
BPPC_2_0_1.txt_0.9.bz2;410;4;7
BPPC_4_0_6.txt_0.3.bz2;0;0;0
BPPC_4_0_5.txt_0.9.bz2;499;5;164
BPPC_8_0_2.txt_0.2.bz2;0;0;0
BPPC_1_0_8.txt_0.9.bz2;284;3;1
BPPC_1_0_5.txt_0.9.bz2;334;4;1
BPPC_1_0_1.txt_0.5.bz2;744;8;2
BPPC_5_0_7.txt_0.4.bz2;3492;9;0
BPPC_1_0_1.txt_0.9.bz2;325;4;1
BPPC_5_0_5.txt_0.4.bz2;3477;9;0
BPPC_3_0_10.txt_0.6.bz2;936;10;291
BPPC_5_0_9.txt_0.9.bz2;1352;3;0
BPPC_8_0_9.txt_0.5.bz2;5021;13;3217
BPPC_6_0_9.txt_0.1.bz2;12473;34;160
BPPC_8_0_8.txt_0.4.bz2;6519;17;50083
BPPC_6_0_5.txt_0.2.bz2;7626;19;120
BPPC_2_0_6.txt_0.8.bz2;503;5;7
BPPC_3_0_5.txt_0.6.bz2;913;10;291
BPPC_1_0_7.txt_0.6.bz2;627;7;1
BPPC_1_0_7.txt_0.8.bz2;404;5;1
BPPC_2_0_3.txt_0.8.bz2;527;6;8
BPPC_6_0_4.txt_0.8.bz2;1862;5;1
BPPC_2_0_8.txt_0.1.bz2;0;0;0
BPPC_6_0_10.txt_0.9.bz2;1600;4;1
BPPC_2_0_1.txt_0.5.bz2;933;11;59
BPPC_6_0_4.txt_0.1.bz2;11738;31;290
BPPC_8_0_4.txt_0.1.bz2;0;0;0
BPPC_4_0_3.txt_0.4.bz2;0;0;0
BPPC_2_0_7.txt_0.8.bz2;498;6;11
BPPC_6_0_2.txt_0.6.bz2;2820;8;1
BPPC_2_0_5.txt_0.5.bz2;940;11;62
BPPC_6_0_3.txt_0.8.bz2;1853;4;2
BPPC_6_0_3.txt_0.9.bz2;1478;3;2
BPPC_4_0_9.txt_0.1.bz2;0;0;0
BPPC_3_0_5.txt_0.4.bz2;1429;16;54149
BPPC_8_0_9.txt_0.7.bz2;3301;8;69
BPPC_6_0_2.txt_0.3.bz2;5653;16;16
