instance;weight;size;nodes;avg_cc;avg_min_k;avg_ratio;time;alg
BPPC_7_0_2.txt_0.1.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_1_0_1.txt_0.3.bz2;1211;15;13517;12.5439;10.9431;0.876364;13;combo
BPPC_8_0_3.txt_0.1.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_6_0_8.txt_0.1.bz2;11501;32;499605;26.2996;24.5805;0.936036;650;combo
BPPC_3_0_7.txt_0.7.bz2;726;7;41054;6.4981;5.14589;0.801123;68;combo
BPPC_8_0_4.txt_0.3.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_1_0_10.txt_0.4.bz2;939;11;4556;9.9181;8.36584;0.850143;4;combo
BPPC_3_0_1.txt_0.8.bz2;562;6;8355;5.38174;4.15387;0.780488;44;combo
BPPC_7_0_7.txt_0.5.bz2;4585;11;38036;9.38524;7.91779;0.853147;48;combo
BPPC_2_0_2.txt_0.1.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_7_0_6.txt_0.9.bz2;1703;4;299;4.19565;2.87511;0.689409;10;combo
BPPC_2_0_6.txt_0.7.bz2;656;7;2921;6.257;4.89629;0.790963;10;combo
BPPC_4_0_2.txt_0.2.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_4_0_7.txt_0.1.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_2_0_4.txt_0.2.bz2;2141;26;94211667;20.2197;18.5803;0.922909;153548;combo
BPPC_8_0_3.txt_0.4.bz2;6542;17;32111805;12.6092;11.089;0.887521;56082;combo
BPPC_5_0_5.txt_0.9.bz2;1298;3;31;3.69937;2.19563;0.602839;0;combo
BPPC_6_0_10.txt_0.6.bz2;3072;8;849;6.56187;5.08147;0.784444;1;combo
BPPC_7_0_1.txt_0.4.bz2;5485;14;393074;10.7965;9.25266;0.865672;435;combo
BPPC_1_0_7.txt_0.5.bz2;762;9;2315;7.44735;5.90584;0.7981;2;combo
BPPC_8_0_8.txt_0.8.bz2;2716;6;7899;5.4151;4.18478;0.781161;48;combo
BPPC_1_0_4.txt_0.8.bz2;496;5;230;4.45362;2.9564;0.674731;1;combo
BPPC_5_0_4.txt_0.4.bz2;3350;9;464;7.27651;5.49756;0.750873;0;combo
BPPC_7_0_5.txt_0.8.bz2;2326;6;1276;4.83326;3.52266;0.738479;8;combo
BPPC_1_0_4.txt_0.4.bz2;988;11;5213;9.57131;7.99605;0.841412;4;combo
BPPC_6_0_3.txt_0.2.bz2;7652;21;61169;16.8618;15.1913;0.904567;59;combo
BPPC_2_0_4.txt_0.3.bz2;1562;18;2470532;14.8861;13.2983;0.899498;3335;combo
BPPC_8_0_7.txt_0.2.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_5_0_4.txt_0.9.bz2;1215;3;36;3.52514;1.92189;0.566872;0;combo
BPPC_4_0_3.txt_0.2.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_1_0_2.txt_0.2.bz2;1570;20;100994;16.1478;14.4796;0.901212;97;combo
BPPC_3_0_4.txt_0.9.bz2;453;5;1279;4.29571;3.01933;0.706281;42;combo
BPPC_7_0_4.txt_0.6.bz2;3449;8;13467;7.08679;5.64573;0.806748;17;combo
BPPC_7_0_6.txt_0.7.bz2;3330;8;2040;6.57921;5.23579;0.803669;10;combo
BPPC_8_0_7.txt_0.4.bz2;6459;15;31319424;12.6773;11.157;0.888173;53315;combo
BPPC_2_0_8.txt_0.9.bz2;411;4;312;4.18812;2.80133;0.673547;8;combo
BPPC_5_0_4.txt_0.2.bz2;6262;17;717;11.5132;9.5538;0.804558;1;combo
BPPC_1_0_8.txt_0.8.bz2;431;4;177;4.6548;3.17243;0.684385;2;combo
BPPC_2_0_3.txt_0.3.bz2;1487;17;4067606;14.0363;12.4407;0.893196;5104;combo
BPPC_1_0_7.txt_0.1.bz2;2540;31;500852;26.2116;24.4843;0.935309;647;combo
BPPC_3_0_3.txt_0.9.bz2;433;5;1456;4.23709;2.93111;0.6999;42;combo
BPPC_4_0_1.txt_0.3.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_6_0_9.txt_0.9.bz2;1569;4;72;4.07595;2.59115;0.648337;1;combo
BPPC_8_0_6.txt_0.4.bz2;6447;15;35381975;12.4907;10.9702;0.886452;59877;combo
BPPC_7_0_5.txt_0.4.bz2;5608;14;319340;11.0191;9.48231;0.868914;373;combo
BPPC_1_0_3.txt_0.9.bz2;337;4;80;4.04678;2.34944;0.587773;2;combo
BPPC_5_0_3.txt_0.4.bz2;3491;9;396;7.74207;5.96809;0.767888;0;combo
BPPC_7_0_1.txt_0.7.bz2;3038;7;3471;6.04172;4.67681;0.782592;8;combo
BPPC_5_0_7.txt_0.9.bz2;1249;3;35;3.59395;1.94218;0.55871;0;combo
BPPC_1_0_5.txt_0.8.bz2;418;5;264;4.33381;2.77687;0.656403;1;combo
BPPC_1_0_6.txt_0.2.bz2;1538;20;227105;15.4495;13.7885;0.896702;190;combo
BPPC_7_0_10.txt_0.6.bz2;3585;9;12553;7.19041;5.7429;0.808608;14;combo
BPPC_5_0_1.txt_0.9.bz2;1267;3;32;3.57576;2.13499;0.609045;0;combo
BPPC_5_0_7.txt_0.8.bz2;1550;4;60;4.19477;2.40491;0.586372;0;combo
BPPC_6_0_9.txt_0.6.bz2;3034;7;948;6.31773;4.81058;0.767554;2;combo
BPPC_5_0_10.txt_0.6.bz2;2221;6;134;5.39102;3.64807;0.682492;0;combo
BPPC_3_0_2.txt_0.5.bz2;1092;12;2331746;9.74407;8.29063;0.860442;3263;combo
BPPC_1_0_5.txt_0.3.bz2;1291;14;24896;11.4953;9.88135;0.864222;27;combo
BPPC_3_0_2.txt_0.9.bz2;437;5;1229;4.37876;3.09381;0.711288;48;combo
BPPC_2_0_3.txt_0.7.bz2;692;7;2980;6.15142;4.7727;0.783495;9;combo
BPPC_6_0_1.txt_0.5.bz2;3837;9;1683;7.98288;6.45537;0.815508;2;combo
BPPC_7_0_2.txt_0.2.bz2;9659;26;146349111;19.7642;18.1118;0.920578;221459;combo
BPPC_5_0_1.txt_0.2.bz2;5574;16;1089;12.7213;10.9261;0.854614;0;combo
BPPC_6_0_1.txt_0.2.bz2;7404;21;103872;16.084;14.4079;0.899806;99;combo
BPPC_6_0_5.txt_0.6.bz2;3116;8;860;6.35259;4.85411;0.769522;1;combo
BPPC_4_0_6.txt_0.7.bz2;824;9;750881;6.94183;5.64099;0.82264;1006;combo
BPPC_1_0_1.txt_0.1.bz2;2524;33;1094111;23.5165;21.8084;0.928594;1146;combo
BPPC_3_0_7.txt_0.5.bz2;1139;12;2291627;9.80883;8.34862;0.860829;3253;combo
BPPC_7_0_5.txt_0.5.bz2;4568;11;33647;9.49775;8.03966;0.856099;43;combo
BPPC_7_0_9.txt_0.2.bz2;9986;25;100884646;20.197;18.5468;0.92246;158898;combo
BPPC_2_0_1.txt_0.4.bz2;1128;14;379205;10.8449;9.30864;0.867085;422;combo
BPPC_8_0_3.txt_0.5.bz2;5009;12;2233139;9.86;8.39918;0.861655;3305;combo
BPPC_8_0_2.txt_0.5.bz2;5080;12;2231910;9.83758;8.37528;0.860941;3281;combo
BPPC_6_0_2.txt_0.5.bz2;3424;10;2008;7.86861;6.3433;0.815287;2;combo
BPPC_1_0_6.txt_0.7.bz2;500;6;529;5.23391;3.72734;0.720214;1;combo
BPPC_8_0_7.txt_0.7.bz2;3420;8;32423;6.83035;5.48582;0.811874;72;combo
BPPC_6_0_4.txt_0.7.bz2;2318;6;444;5.36486;3.91497;0.741763;1;combo
BPPC_4_0_4.txt_0.8.bz2;662;7;67967;5.84848;4.59243;0.790944;215;combo
BPPC_5_0_2.txt_0.6.bz2;2432;6;105;6.0756;4.19078;0.688109;0;combo
BPPC_2_0_9.txt_0.5.bz2;965;11;55647;8.75191;7.2739;0.840331;60;combo
BPPC_5_0_3.txt_0.6.bz2;2428;7;132;5.68696;3.87667;0.679102;0;combo
BPPC_3_0_6.txt_0.8.bz2;587;6;7953;5.42984;4.19252;0.780766;40;combo
BPPC_3_0_7.txt_0.8.bz2;572;6;8531;5.38612;4.14842;0.77873;38;combo
BPPC_3_0_5.txt_0.3.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_8_0_1.txt_0.4.bz2;6520;15;41037096;12.2623;10.7417;0.884268;66528;combo
BPPC_5_0_8.txt_0.1.bz2;8225;23;1567;16.8344;14.9312;0.862054;1;combo
BPPC_8_0_10.txt_0.8.bz2;2567;6;9045;5.335;4.08947;0.775541;43;combo
BPPC_8_0_5.txt_0.4.bz2;6348;16;37355751;12.3689;10.843;0.884928;61982;combo
BPPC_2_0_1.txt_0.2.bz2;2119;24;101088918;20.159;18.5122;0.922303;160889;combo
BPPC_3_0_1.txt_0.2.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_8_0_5.txt_0.6.bz2;4106;10;252535;8.01095;6.62022;0.836607;339;combo
BPPC_4_0_1.txt_0.8.bz2;659;7;59549;6.04714;4.81515;0.801883;221;combo
BPPC_1_0_4.txt_0.3.bz2;1283;13;12111;12.3753;10.7516;0.871954;12;combo
BPPC_6_0_7.txt_0.8.bz2;1914;5;226;4.49023;2.9529;0.666379;1;combo
BPPC_2_0_8.txt_0.3.bz2;1660;19;2241651;15.0045;13.4228;0.900466;3107;combo
BPPC_8_0_9.txt_0.3.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_5_0_7.txt_0.5.bz2;2839;8;272;6.22044;4.46648;0.720129;0;combo
BPPC_6_0_10.txt_0.7.bz2;2341;6;457;5.33098;3.82301;0.72704;1;combo
BPPC_1_0_2.txt_0.8.bz2;448;5;212;4.43999;2.93398;0.66961;4;combo
BPPC_5_0_5.txt_0.6.bz2;2649;7;110;5.53018;3.7128;0.675185;0;combo
BPPC_5_0_3.txt_0.1.bz2;8264;23;421;18.874;16.5178;0.859123;0;combo
BPPC_3_0_7.txt_0.9.bz2;462;5;1028;4.55995;3.26269;0.719568;50;combo
BPPC_1_0_1.txt_0.8.bz2;423;5;168;4.62315;3.12937;0.687317;1;combo
BPPC_2_0_10.txt_0.4.bz2;1191;14;362425;10.7963;9.25515;0.865567;408;combo
BPPC_7_0_2.txt_0.8.bz2;2286;6;1204;4.85426;3.51871;0.733271;9;combo
BPPC_8_0_6.txt_0.9.bz2;2153;5;1242;4.34971;3.05778;0.70808;39;combo
BPPC_1_0_9.txt_0.9.bz2;340;4;99;3.96808;2.22053;0.579962;2;combo
BPPC_4_0_1.txt_0.2.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_8_0_2.txt_0.9.bz2;2031;5;1382;4.3158;3.01659;0.705286;51;combo
BPPC_1_0_4.txt_0.1.bz2;2545;32;743987;25.5702;23.8698;0.935308;895;combo
BPPC_6_0_4.txt_0.4.bz2;4530;12;5017;9.46742;7.87804;0.837316;4;combo
BPPC_2_0_2.txt_0.7.bz2;693;8;2279;6.46699;5.13359;0.801309;7;combo
BPPC_1_0_2.txt_0.3.bz2;1269;14;16487;12.3179;10.679;0.873361;14;combo
BPPC_8_0_8.txt_0.5.bz2;5141;13;2003884;10.0026;8.54454;0.863909;2969;combo
BPPC_7_0_3.txt_0.3.bz2;7694;20;2422531;14.7902;13.1912;0.898128;3232;combo
BPPC_7_0_5.txt_0.9.bz2;1805;4;321;4.24114;2.81892;0.673431;10;combo
BPPC_4_0_9.txt_0.6.bz2;1030;11;7949174;8.68397;7.30161;0.85044;12384;combo
BPPC_3_0_9.txt_0.6.bz2;850;9;257110;7.95588;6.56762;0.835676;333;combo
BPPC_6_0_9.txt_0.2.bz2;7452;20;124458;15.9606;14.281;0.898861;114;combo
BPPC_1_0_3.txt_0.3.bz2;1308;15;16426;11.9476;10.3484;0.871417;15;combo
BPPC_5_0_5.txt_0.2.bz2;6088;16;474;12.2806;10.1644;0.802539;0;combo
BPPC_2_0_2.txt_0.5.bz2;921;10;55614;8.7768;7.30227;0.841506;60;combo
BPPC_5_0_6.txt_0.2.bz2;5498;15;969;12.1797;10.3109;0.840815;0;combo
BPPC_8_0_5.txt_0.8.bz2;2602;6;8313;5.42653;4.19959;0.782981;41;combo
BPPC_7_0_6.txt_0.2.bz2;10048;26;65808421;20.7929;19.136;0.924336;110146;combo
BPPC_4_0_6.txt_0.9.bz2;494;5;9683;4.32675;3.1503;0.73484;162;combo
BPPC_1_0_9.txt_0.6.bz2;595;7;1428;5.82958;4.34213;0.750482;3;combo
BPPC_7_0_6.txt_0.8.bz2;2395;6;964;5.0674;3.73298;0.746062;9;combo
BPPC_5_0_8.txt_0.4.bz2;3238;9;340;7.6667;5.87398;0.762761;0;combo
BPPC_8_0_10.txt_0.2.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_6_0_9.txt_0.5.bz2;3486;9;2970;7.32105;5.76813;0.796055;3;combo
BPPC_3_0_6.txt_0.4.bz2;1426;15;35537705;12.4541;10.9338;0.88598;59672;combo
BPPC_1_0_10.txt_0.1.bz2;2411;32;703823;24.6547;22.9265;0.930747;855;combo
BPPC_4_0_5.txt_0.3.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_5_0_6.txt_0.3.bz2;4088;11;627;9.55908;7.77608;0.812652;0;combo
BPPC_4_0_3.txt_0.1.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_5_0_5.txt_0.5.bz2;2815;7;210;6.39998;4.56471;0.711655;0;combo
BPPC_8_0_4.txt_0.9.bz2;1917;5;1620;4.20875;2.92681;0.702529;39;combo
BPPC_3_0_8.txt_0.2.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_2_0_5.txt_0.6.bz2;789;9;8905;7.72334;6.31207;0.827148;16;combo
BPPC_2_0_8.txt_0.7.bz2;656;7;3565;6.0269;4.66171;0.782402;10;combo
BPPC_2_0_7.txt_0.2.bz2;2102;25;134526323;19.3267;17.6773;0.918889;200300;combo
BPPC_3_0_8.txt_0.6.bz2;997;10;229850;8.06917;6.68517;0.83808;315;combo
BPPC_1_0_2.txt_0.5.bz2;760;9;2209;7.60431;6.05912;0.803796;2;combo
BPPC_1_0_5.txt_0.5.bz2;787;9;1843;7.85451;6.29458;0.807475;3;combo
BPPC_4_0_1.txt_0.7.bz2;796;9;762090;6.92118;5.6197;0.822101;1049;combo
BPPC_3_0_4.txt_0.1.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_4_0_5.txt_0.2.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_1_0_6.txt_0.9.bz2;308;3;101;3.84261;2.41588;0.642961;3;combo
BPPC_1_0_4.txt_0.2.bz2;1697;19;86314;16.475;14.835;0.903931;86;combo
BPPC_4_0_8.txt_0.9.bz2;504;5;9632;4.3271;3.15193;0.735008;167;combo
BPPC_4_0_7.txt_0.7.bz2;882;9;498172;7.40054;6.10406;0.834344;839;combo
BPPC_4_0_3.txt_0.6.bz2;1049;11;7991352;8.67699;7.29603;0.850418;12816;combo
BPPC_8_0_1.txt_0.6.bz2;4152;10;238901;8.08105;6.69634;0.838791;331;combo
BPPC_5_0_9.txt_0.7.bz2;2157;6;63;5.16496;3.37455;0.65663;0;combo
BPPC_3_0_9.txt_0.1.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_8_0_5.txt_0.2.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_7_0_2.txt_0.4.bz2;5493;14;275242;11.2582;9.72117;0.87185;340;combo
BPPC_1_0_5.txt_0.2.bz2;1684;20;87082;16.4532;14.7992;0.902816;84;combo
BPPC_6_0_8.txt_0.4.bz2;4594;12;4126;9.70127;8.10497;0.835812;5;combo
BPPC_3_0_8.txt_0.8.bz2;579;6;8144;5.41137;4.17982;0.780626;43;combo
BPPC_8_0_2.txt_0.1.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_7_0_2.txt_0.5.bz2;4479;11;42942;9.07414;7.60008;0.846538;53;combo
BPPC_6_0_4.txt_0.6.bz2;2804;7;852;6.45902;4.96807;0.780689;1;combo
BPPC_2_0_1.txt_0.1.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_5_0_5.txt_0.3.bz2;4477;12;437;8.91911;7.0166;0.771877;0;combo
BPPC_3_0_4.txt_0.5.bz2;1121;12;2401308;9.69364;8.23669;0.859368;3447;combo
BPPC_2_0_7.txt_0.3.bz2;1517;17;3243511;14.2424;12.6673;0.895833;4229;combo
BPPC_3_0_9.txt_0.7.bz2;751;8;32581;6.73693;5.39762;0.808904;70;combo
BPPC_8_0_4.txt_0.6.bz2;4025;9;257898;8.02817;6.63683;0.837275;349;combo
BPPC_4_0_4.txt_0.5.bz2;1271;13;177711624;10.7459;9.30673;0.875098;342343;combo
BPPC_1_0_6.txt_0.5.bz2;774;8;2445;7.46485;5.91754;0.800444;2;combo
BPPC_4_0_9.txt_0.5.bz2;1296;14;137612776;11.1816;9.75153;0.880747;289494;combo
BPPC_3_0_2.txt_0.3.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_1_0_3.txt_0.8.bz2;412;4;176;4.60067;3.11028;0.684582;1;combo
BPPC_4_0_1.txt_0.9.bz2;504;5;8628;4.38834;3.2035;0.736789;167;combo
BPPC_8_0_6.txt_0.7.bz2;3323;8;43219;6.45881;5.09808;0.799026;76;combo
BPPC_3_0_5.txt_0.8.bz2;579;6;7974;5.4012;4.17088;0.78055;41;combo
BPPC_5_0_3.txt_0.5.bz2;2995;8;211;6.28953;4.5549;0.726151;0;combo
BPPC_6_0_5.txt_0.7.bz2;2640;7;256;5.73558;4.13294;0.72228;1;combo
BPPC_8_0_7.txt_0.8.bz2;2545;6;9112;5.31816;4.07597;0.775106;50;combo
BPPC_1_0_5.txt_0.6.bz2;633;7;1028;6.37748;4.88658;0.774635;1;combo
BPPC_8_0_10.txt_0.7.bz2;3359;8;36048;6.71036;5.35664;0.807081;69;combo
BPPC_8_0_5.txt_0.3.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_3_0_3.txt_0.1.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_2_0_2.txt_0.2.bz2;2106;24;124321572;19.871;18.2205;0.920924;192024;combo
BPPC_1_0_10.txt_0.9.bz2;370;4;69;4.03772;2.62089;0.660397;1;combo
BPPC_4_0_2.txt_0.7.bz2;914;9;478454;7.40326;6.1026;0.833416;818;combo
BPPC_3_0_6.txt_0.2.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_7_0_7.txt_0.1.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_2_0_4.txt_0.8.bz2;495;5;1132;4.97799;3.64522;0.743031;9;combo
BPPC_8_0_7.txt_0.9.bz2;2070;5;1125;4.4505;3.15603;0.71334;43;combo
BPPC_2_0_9.txt_0.4.bz2;1262;15;273854;11.2236;9.68804;0.870894;339;combo
BPPC_6_0_8.txt_0.8.bz2;2055;5;142;4.95267;3.42235;0.696053;1;combo
BPPC_5_0_10.txt_0.1.bz2;8230;24;1710;13.9113;11.9666;0.831856;0;combo
BPPC_3_0_8.txt_0.1.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_4_0_7.txt_0.6.bz2;993;11;8764550;8.55148;7.17085;0.848417;13654;combo
BPPC_5_0_1.txt_0.5.bz2;2828;8;205;6.35857;4.57676;0.720869;0;combo
BPPC_2_0_4.txt_0.9.bz2;424;5;247;4.47433;3.1488;0.708229;9;combo
BPPC_7_0_7.txt_0.2.bz2;9805;26;100811687;20.0873;18.4362;0.922005;161058;combo
BPPC_5_0_1.txt_0.1.bz2;8307;24;1251;16.6626;14.6761;0.854971;0;combo
BPPC_3_0_10.txt_0.8.bz2;543;6;9272;5.30387;4.05909;0.774013;42;combo
BPPC_6_0_5.txt_0.1.bz2;12004;33;354098;26.0786;24.3297;0.933371;435;combo
BPPC_3_0_5.txt_0.5.bz2;1133;12;2108125;9.90772;8.45339;0.862841;3175;combo
BPPC_7_0_9.txt_0.7.bz2;3007;8;2866;6.30339;4.93954;0.791721;9;combo
BPPC_1_0_3.txt_0.7.bz2;541;6;391;5.33968;3.77893;0.715277;1;combo
BPPC_8_0_6.txt_0.6.bz2;4101;10;237871;8.10638;6.72119;0.839526;325;combo
BPPC_7_0_10.txt_0.4.bz2;5539;13;314623;11.0522;9.50846;0.86919;373;combo
BPPC_1_0_6.txt_0.4.bz2;944;11;5782;9.23424;7.65012;0.833061;5;combo
BPPC_3_0_5.txt_0.1.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_3_0_1.txt_0.6.bz2;935;10;220954;8.15641;6.77686;0.840648;331;combo
BPPC_6_0_4.txt_0.2.bz2;7520;20;110938;16.1102;14.4372;0.900277;106;combo
BPPC_8_0_3.txt_0.8.bz2;2495;6;9441;5.28878;4.03962;0.772992;46;combo
BPPC_4_0_10.txt_0.6.bz2;1015;11;8389313;8.61609;7.23427;0.849327;13251;combo
BPPC_4_0_7.txt_0.3.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_8_0_10.txt_0.5.bz2;5145;12;2143132;9.90741;8.44746;0.862228;3204;combo
BPPC_2_0_10.txt_0.6.bz2;763;9;12729;7.12747;5.69805;0.808864;16;combo
BPPC_5_0_10.txt_0.8.bz2;1507;4;51;4.3312;2.63858;0.622058;0;combo
BPPC_6_0_3.txt_0.3.bz2;5607;14;22924;12.0357;10.414;0.872468;21;combo
BPPC_6_0_7.txt_0.4.bz2;4232;11;5566;9.57332;8.01113;0.844991;5;combo
BPPC_3_0_3.txt_0.4.bz2;1390;15;33496617;12.492;10.9749;0.886713;57372;combo
BPPC_6_0_6.txt_0.5.bz2;3682;9;1741;8.09814;6.55955;0.816794;3;combo
BPPC_5_0_4.txt_0.8.bz2;1672;4;43;4.3944;2.70424;0.618526;0;combo
BPPC_1_0_9.txt_0.2.bz2;1830;21;43953;17.6421;16.0102;0.91043;51;combo
BPPC_2_0_10.txt_0.2.bz2;2119;26;122105058;19.7923;18.1478;0.921135;192397;combo
BPPC_2_0_9.txt_0.3.bz2;1571;17;3363131;14.3521;12.7552;0.895208;4411;combo
