instance;size;weight;valid;
c_BPPC_3_0_5.txt_0.7;8;720;1;
c_BPPC_5_0_9.txt_0.2;16;6118;1;
c_BPPC_6_0_6.txt_0.5;9;3682;1;
c_BPPC_4_0_4.txt_0.5;0;0;0;
c_BPPC_7_0_9.txt_0.7;8;3007;1;
c_BPPC_1_0_8.txt_0.3;16;1269;1;
c_BPPC_5_0_3.txt_0.1;23;8264;1;
c_BPPC_6_0_1.txt_0.7;6;2469;1;
c_BPPC_7_0_3.txt_0.8;5;2229;1;
c_BPPC_5_0_8.txt_0.4;9;3238;1;
c_BPPC_6_0_3.txt_0.9;3;1478;1;
c_BPPC_7_0_8.txt_0.2;0;0;0;
c_BPPC_1_0_6.txt_0.4;11;944;1;
c_BPPC_5_0_7.txt_0.8;4;1550;1;
c_BPPC_6_0_9.txt_0.6;7;3034;1;
c_BPPC_7_0_4.txt_0.9;4;1899;1;
c_BPPC_8_0_1.txt_0.6;10;4152;1;
c_BPPC_7_0_8.txt_0.6;10;4141;1;
c_BPPC_8_0_6.txt_0.5;12;5134;1;
c_BPPC_4_0_10.txt_0.2;0;0;0;
c_BPPC_2_0_2.txt_0.8;6;516;1;
c_BPPC_7_0_6.txt_0.9;4;1703;1;
c_BPPC_6_0_10.txt_0.6;8;3072;1;
c_BPPC_7_0_2.txt_0.4;14;5493;1;
c_BPPC_5_0_10.txt_0.4;9;3657;1;
c_BPPC_5_0_8.txt_0.6;6;2620;1;
c_BPPC_6_0_10.txt_0.7;6;2341;1;
c_BPPC_8_0_3.txt_0.1;0;0;0;
c_BPPC_1_0_6.txt_0.5;8;774;1;
c_BPPC_4_0_8.txt_0.3;0;0;0;
c_BPPC_4_0_9.txt_0.1;0;0;0;
c_BPPC_2_0_7.txt_0.4;13;1252;1;
c_BPPC_5_0_6.txt_0.7;5;1836;1;
c_BPPC_3_0_4.txt_0.7;8;768;1;
c_BPPC_8_0_8.txt_0.1;0;0;0;
c_BPPC_4_0_7.txt_0.8;7;635;1;
c_BPPC_1_0_8.txt_0.8;4;431;1;
c_BPPC_8_0_10.txt_0.1;0;0;0;
c_BPPC_7_0_9.txt_0.4;14;5472;1;
c_BPPC_3_0_7.txt_0.2;0;0;0;
c_BPPC_8_0_4.txt_0.9;5;1917;1;
c_BPPC_5_0_8.txt_0.2;15;5538;1;
c_BPPC_7_0_5.txt_0.4;14;5608;1;
c_BPPC_2_0_5.txt_0.4;13;1201;1;
c_BPPC_3_0_7.txt_0.9;5;462;1;
c_BPPC_2_0_4.txt_0.8;5;495;1;
c_BPPC_1_0_1.txt_0.1;33;2524;1;
c_BPPC_3_0_1.txt_0.9;5;449;1;
c_BPPC_8_0_5.txt_0.3;0;0;0;
c_BPPC_6_0_9.txt_0.3;14;5546;1;
c_BPPC_7_0_9.txt_0.3;19;7342;1;
c_BPPC_5_0_6.txt_0.3;11;4088;1;
c_BPPC_4_0_6.txt_0.4;0;0;0;
c_BPPC_6_0_9.txt_0.1;34;12473;1;
c_BPPC_2_0_9.txt_0.7;7;608;1;
c_BPPC_7_0_9.txt_0.8;6;2280;1;
c_BPPC_1_0_2.txt_0.6;6;648;1;
c_BPPC_6_0_9.txt_0.8;5;1898;1;
c_BPPC_1_0_4.txt_0.5;10;778;1;
c_BPPC_1_0_9.txt_0.9;4;340;1;
c_BPPC_6_0_4.txt_0.3;14;5708;1;
c_BPPC_8_0_1.txt_0.7;9;3365;1;
c_BPPC_4_0_4.txt_0.1;0;0;0;
c_BPPC_2_0_4.txt_0.4;14;1199;1;
c_BPPC_1_0_6.txt_0.9;3;308;1;
c_BPPC_5_0_10.txt_0.6;6;2221;1;
c_BPPC_7_0_5.txt_0.7;8;3306;1;
c_BPPC_6_0_4.txt_0.8;5;1862;1;
c_BPPC_6_0_10.txt_0.1;32;11992;1;
c_BPPC_1_0_9.txt_0.4;12;1035;1;
c_BPPC_7_0_7.txt_0.3;19;6923;1;
c_BPPC_5_0_7.txt_0.1;24;8476;1;
c_BPPC_7_0_9.txt_0.5;12;4400;1;
c_BPPC_4_0_5.txt_0.5;0;0;0;
c_BPPC_8_0_1.txt_0.1;0;0;0;
c_BPPC_7_0_2.txt_0.6;10;3562;1;
c_BPPC_5_0_8.txt_0.7;5;1968;1;
c_BPPC_7_0_4.txt_0.8;6;2434;1;
c_BPPC_7_0_2.txt_0.2;0;0;0;
c_BPPC_2_0_6.txt_0.5;11;991;1;
c_BPPC_2_0_7.txt_0.2;0;0;0;
c_BPPC_3_0_6.txt_0.9;5;481;1;
c_BPPC_4_0_6.txt_0.7;9;824;1;
c_BPPC_3_0_8.txt_0.6;10;997;1;
c_BPPC_5_0_3.txt_0.7;5;1971;1;
c_BPPC_5_0_5.txt_0.6;7;2649;1;
c_BPPC_8_0_10.txt_0.7;8;3359;1;
c_BPPC_3_0_9.txt_0.1;0;0;0;
c_BPPC_3_0_3.txt_0.6;10;943;1;
c_BPPC_8_0_6.txt_0.4;15;6447;1;
c_BPPC_7_0_8.txt_0.4;14;5308;1;
c_BPPC_6_0_3.txt_0.4;11;4233;1;
c_BPPC_6_0_5.txt_0.4;11;4404;1;
c_BPPC_1_0_8.txt_0.6;7;619;1;
c_BPPC_7_0_3.txt_0.9;4;1772;1;
c_BPPC_4_0_1.txt_0.8;7;659;1;
c_BPPC_2_0_8.txt_0.2;0;0;0;
c_BPPC_4_0_9.txt_0.4;0;0;0;
c_BPPC_1_0_10.txt_0.2;20;1676;1;
c_BPPC_2_0_9.txt_0.5;11;965;1;
c_BPPC_6_0_3.txt_0.7;6;2444;1;
c_BPPC_3_0_5.txt_0.3;0;0;0;
c_BPPC_6_0_3.txt_0.2;21;7652;1;
c_BPPC_8_0_6.txt_0.2;0;0;0;
c_BPPC_1_0_3.txt_0.6;7;563;1;
c_BPPC_6_0_4.txt_0.5;10;3535;1;
c_BPPC_1_0_7.txt_0.5;9;762;1;
c_BPPC_2_0_4.txt_0.7;8;649;1;
c_BPPC_2_0_5.txt_0.3;19;1515;1;
c_BPPC_8_0_4.txt_0.5;12;5207;1;
c_BPPC_1_0_8.txt_0.4;11;998;1;
c_BPPC_8_0_5.txt_0.5;12;5012;1;
c_BPPC_6_0_6.txt_0.1;33;11921;1;
c_BPPC_4_0_3.txt_0.5;0;0;0;
c_BPPC_3_0_5.txt_0.8;6;579;1;
c_BPPC_3_0_5.txt_0.6;10;913;1;
c_BPPC_8_0_8.txt_0.3;0;0;0;
c_BPPC_4_0_10.txt_0.9;5;518;1;
c_BPPC_7_0_7.txt_0.2;0;0;0;
c_BPPC_7_0_10.txt_0.9;4;1783;1;
c_BPPC_3_0_6.txt_0.6;9;902;1;
c_BPPC_4_0_3.txt_0.6;11;1049;1;
c_BPPC_1_0_2.txt_0.5;9;760;1;
c_BPPC_2_0_7.txt_0.1;0;0;0;
c_BPPC_4_0_6.txt_0.8;7;678;1;
c_BPPC_3_0_9.txt_0.2;0;0;0;
c_BPPC_1_0_3.txt_0.1;32;2492;1;
c_BPPC_1_0_7.txt_0.7;6;547;1;
c_BPPC_3_0_2.txt_0.5;12;1092;1;
c_BPPC_8_0_2.txt_0.2;0;0;0;
c_BPPC_2_0_6.txt_0.3;19;1492;1;
c_BPPC_8_0_9.txt_0.1;0;0;0;
c_BPPC_8_0_2.txt_0.3;0;0;0;
c_BPPC_6_0_5.txt_0.7;7;2640;1;
c_BPPC_3_0_4.txt_0.5;12;1121;1;
c_BPPC_2_0_1.txt_0.3;18;1534;1;
c_BPPC_3_0_10.txt_0.7;8;690;1;
c_BPPC_8_0_10.txt_0.3;0;0;0;
c_BPPC_5_0_6.txt_0.9;3;1317;1;
c_BPPC_6_0_1.txt_0.4;12;4528;1;
c_BPPC_5_0_2.txt_0.5;8;2883;1;
c_BPPC_3_0_6.txt_0.7;8;724;1;
c_BPPC_2_0_3.txt_0.6;9;792;1;
c_BPPC_3_0_3.txt_0.9;5;433;1;
c_BPPC_5_0_9.txt_0.4;10;3867;1;
c_BPPC_3_0_3.txt_0.7;8;758;1;
c_BPPC_3_0_7.txt_0.6;10;938;1;
c_BPPC_7_0_7.txt_0.1;0;0;0;
c_BPPC_6_0_10.txt_0.5;9;3457;1;
c_BPPC_2_0_10.txt_0.8;6;545;1;
c_BPPC_2_0_4.txt_0.3;18;1562;1;
c_BPPC_7_0_8.txt_0.3;18;6977;1;
c_BPPC_5_0_8.txt_0.9;3;1267;1;
c_BPPC_7_0_3.txt_0.2;0;0;0;
c_BPPC_3_0_2.txt_0.1;0;0;0;
c_BPPC_5_0_7.txt_0.9;3;1249;1;
c_BPPC_5_0_2.txt_0.6;6;2432;1;
c_BPPC_6_0_6.txt_0.8;5;2105;1;
c_BPPC_7_0_2.txt_0.7;7;3088;1;
c_BPPC_6_0_8.txt_0.5;9;3695;1;
c_BPPC_6_0_1.txt_0.6;7;2757;1;
c_BPPC_7_0_5.txt_0.5;11;4568;1;
c_BPPC_2_0_5.txt_0.1;0;0;0;
c_BPPC_2_0_1.txt_0.7;7;649;1;
c_BPPC_7_0_5.txt_0.1;0;0;0;
c_BPPC_1_0_9.txt_0.1;32;2680;1;
c_BPPC_4_0_8.txt_0.7;9;823;1;
c_BPPC_4_0_2.txt_0.7;9;914;1;
c_BPPC_8_0_7.txt_0.2;0;0;0;
c_BPPC_3_0_6.txt_0.5;12;1123;1;
c_BPPC_4_0_5.txt_0.2;0;0;0;
c_BPPC_2_0_4.txt_0.2;0;0;0;
c_BPPC_7_0_1.txt_0.7;7;3038;1;
c_BPPC_4_0_6.txt_0.2;0;0;0;
c_BPPC_1_0_3.txt_0.7;6;541;1;
c_BPPC_3_0_8.txt_0.3;0;0;0;
c_BPPC_1_0_9.txt_0.6;7;595;1;
c_BPPC_8_0_7.txt_0.5;13;4966;1;
c_BPPC_2_0_10.txt_0.6;9;763;1;
c_BPPC_5_0_10.txt_0.1;24;8230;1;
c_BPPC_4_0_8.txt_0.2;0;0;0;
c_BPPC_7_0_9.txt_0.1;0;0;0;
c_BPPC_8_0_5.txt_0.2;0;0;0;
c_BPPC_8_0_9.txt_0.2;0;0;0;
c_BPPC_5_0_3.txt_0.3;12;4419;1;
c_BPPC_7_0_1.txt_0.9;4;1907;1;
c_BPPC_8_0_2.txt_0.5;12;5080;1;
c_BPPC_8_0_2.txt_0.4;16;6488;1;
c_BPPC_5_0_1.txt_0.7;5;2226;1;
c_BPPC_8_0_2.txt_0.6;9;4125;1;
c_BPPC_5_0_4.txt_0.7;5;1904;1;
c_BPPC_4_0_3.txt_0.9;5;484;1;
c_BPPC_3_0_1.txt_0.3;0;0;0;
c_BPPC_7_0_9.txt_0.9;4;1740;1;
c_BPPC_5_0_5.txt_0.8;4;1710;1;
c_BPPC_1_0_2.txt_0.1;32;2527;1;
c_BPPC_5_0_8.txt_0.3;12;4294;1;
c_BPPC_5_0_2.txt_0.8;4;1524;1;
c_BPPC_6_0_2.txt_0.1;32;11871;1;
c_BPPC_8_0_4.txt_0.7;8;3395;1;
c_BPPC_4_0_6.txt_0.1;0;0;0;
c_BPPC_8_0_9.txt_0.4;16;6481;1;
c_BPPC_2_0_6.txt_0.9;4;403;1;
c_BPPC_3_0_8.txt_0.2;0;0;0;
c_BPPC_7_0_4.txt_0.7;7;2830;1;
c_BPPC_3_0_3.txt_0.1;0;0;0;
c_BPPC_8_0_3.txt_0.2;0;0;0;
c_BPPC_6_0_10.txt_0.2;20;7544;1;
c_BPPC_1_0_4.txt_0.6;7;609;1;
c_BPPC_8_0_7.txt_0.6;10;4219;1;
c_BPPC_3_0_5.txt_0.9;5;455;1;
c_BPPC_3_0_5.txt_0.5;12;1133;1;
c_BPPC_5_0_10.txt_0.2;15;5553;1;
c_BPPC_1_0_5.txt_0.2;20;1684;1;
c_BPPC_5_0_2.txt_0.1;21;8180;1;
c_BPPC_2_0_6.txt_0.4;14;1241;1;
c_BPPC_1_0_9.txt_0.5;9;872;1;
c_BPPC_7_0_7.txt_0.4;13;5474;1;
c_BPPC_3_0_10.txt_0.2;0;0;0;
c_BPPC_5_0_1.txt_0.5;8;2828;1;
c_BPPC_3_0_8.txt_0.5;12;1123;1;
c_BPPC_6_0_2.txt_0.8;5;2048;1;
c_BPPC_7_0_5.txt_0.3;18;7186;1;
c_BPPC_3_0_5.txt_0.2;0;0;0;
c_BPPC_3_0_10.txt_0.5;12;1106;1;
c_BPPC_1_0_8.txt_0.1;33;2600;1;
c_BPPC_6_0_8.txt_0.7;6;2491;1;
c_BPPC_7_0_10.txt_0.6;9;3585;1;
c_BPPC_1_0_8.txt_0.2;20;1600;1;
c_BPPC_2_0_8.txt_0.4;14;1259;1;
c_BPPC_4_0_8.txt_0.9;5;504;1;
c_BPPC_7_0_2.txt_0.5;11;4479;1;
c_BPPC_4_0_9.txt_0.5;0;0;0;
c_BPPC_2_0_9.txt_0.3;17;1571;1;
c_BPPC_8_0_3.txt_0.3;0;0;0;
c_BPPC_2_0_1.txt_0.5;11;933;1;
c_BPPC_4_0_9.txt_0.2;0;0;0;
c_BPPC_1_0_5.txt_0.9;4;334;1;
c_BPPC_1_0_1.txt_0.6;7;623;1;
c_BPPC_2_0_2.txt_0.1;0;0;0;
c_BPPC_2_0_2.txt_0.5;10;921;1;
c_BPPC_7_0_1.txt_0.1;0;0;0;
c_BPPC_2_0_2.txt_0.4;14;1208;1;
c_BPPC_5_0_4.txt_0.9;3;1215;1;
c_BPPC_3_0_4.txt_0.8;6;581;1;
c_BPPC_1_0_7.txt_0.9;4;347;1;
c_BPPC_3_0_1.txt_0.2;0;0;0;
c_BPPC_6_0_10.txt_0.4;11;4439;1;
c_BPPC_8_0_6.txt_0.7;8;3323;1;
c_BPPC_8_0_6.txt_0.3;0;0;0;
c_BPPC_1_0_6.txt_0.2;20;1538;1;
c_BPPC_3_0_3.txt_0.2;0;0;0;
c_BPPC_4_0_2.txt_0.3;0;0;0;
c_BPPC_6_0_4.txt_0.7;6;2318;1;
c_BPPC_4_0_8.txt_0.6;11;1034;1;
c_BPPC_3_0_7.txt_0.7;7;726;1;
c_BPPC_2_0_9.txt_0.8;6;530;1;
c_BPPC_2_0_5.txt_0.7;7;617;1;
c_BPPC_5_0_4.txt_0.3;12;4455;1;
c_BPPC_8_0_3.txt_0.5;12;5009;1;
c_BPPC_7_0_7.txt_0.9;4;1801;1;
c_BPPC_4_0_4.txt_0.7;9;850;1;
c_BPPC_3_0_10.txt_0.9;5;456;1;
c_BPPC_1_0_3.txt_0.4;10;941;1;
c_BPPC_7_0_9.txt_0.6;9;3600;1;
c_BPPC_3_0_4.txt_0.6;10;919;1;
c_BPPC_1_0_2.txt_0.3;14;1269;1;
c_BPPC_7_0_8.txt_0.9;4;1743;1;
c_BPPC_8_0_9.txt_0.8;7;2667;1;
c_BPPC_6_0_1.txt_0.9;4;1488;1;
c_BPPC_1_0_3.txt_0.9;4;337;1;
c_BPPC_6_0_4.txt_0.9;4;1540;1;
c_BPPC_4_0_7.txt_0.4;0;0;0;
c_BPPC_3_0_2.txt_0.6;9;872;1;
c_BPPC_3_0_2.txt_0.9;5;437;1;
c_BPPC_4_0_5.txt_0.1;0;0;0;
c_BPPC_5_0_4.txt_0.1;23;8214;1;
c_BPPC_1_0_7.txt_0.4;11;861;1;
c_BPPC_8_0_2.txt_0.7;8;3347;1;
c_BPPC_2_0_9.txt_0.9;4;396;1;
c_BPPC_3_0_7.txt_0.5;12;1139;1;
c_BPPC_3_0_5.txt_0.4;16;1429;1;
c_BPPC_8_0_9.txt_0.3;0;0;0;
c_BPPC_7_0_1.txt_0.4;14;5485;1;
c_BPPC_1_0_4.txt_0.4;11;988;1;
c_BPPC_1_0_1.txt_0.5;8;744;1;
c_BPPC_4_0_10.txt_0.6;11;1015;1;
c_BPPC_5_0_6.txt_0.6;6;2336;1;
c_BPPC_1_0_6.txt_0.1;35;2534;1;
c_BPPC_7_0_1.txt_0.5;10;4511;1;
c_BPPC_2_0_8.txt_0.8;6;527;1;
c_BPPC_8_0_8.txt_0.5;13;5141;1;
c_BPPC_3_0_3.txt_0.5;12;1101;1;
c_BPPC_5_0_2.txt_0.7;5;1956;1;
c_BPPC_5_0_5.txt_0.2;16;6088;1;
c_BPPC_3_0_4.txt_0.1;0;0;0;
c_BPPC_7_0_4.txt_0.6;8;3449;1;
c_BPPC_5_0_9.txt_0.6;6;2163;1;
c_BPPC_4_0_9.txt_0.6;11;1030;1;
c_BPPC_4_0_3.txt_0.7;9;826;1;
c_BPPC_8_0_4.txt_0.1;0;0;0;
c_BPPC_5_0_5.txt_0.7;5;2078;1;
c_BPPC_6_0_8.txt_0.9;3;1407;1;
c_BPPC_8_0_7.txt_0.4;15;6459;1;
c_BPPC_7_0_4.txt_0.5;10;4550;1;
c_BPPC_3_0_2.txt_0.2;0;0;0;
c_BPPC_4_0_3.txt_0.8;7;670;1;
c_BPPC_3_0_2.txt_0.3;0;0;0;
c_BPPC_4_0_5.txt_0.8;7;665;1;
c_BPPC_2_0_7.txt_0.5;10;961;1;
c_BPPC_7_0_1.txt_0.3;19;7183;1;
c_BPPC_3_0_9.txt_0.3;0;0;0;
c_BPPC_7_0_4.txt_0.4;13;5378;1;
c_BPPC_5_0_6.txt_0.5;7;2823;1;
c_BPPC_2_0_4.txt_0.5;12;998;1;
c_BPPC_2_0_9.txt_0.1;0;0;0;
c_BPPC_7_0_6.txt_0.7;8;3330;1;
c_BPPC_7_0_6.txt_0.6;9;3675;1;
c_BPPC_1_0_5.txt_0.8;5;418;1;
c_BPPC_3_0_8.txt_0.8;6;579;1;
c_BPPC_1_0_5.txt_0.6;7;633;1;
c_BPPC_2_0_9.txt_0.4;15;1262;1;
c_BPPC_1_0_4.txt_0.9;4;334;1;
c_BPPC_4_0_10.txt_0.3;0;0;0;
c_BPPC_5_0_3.txt_0.5;8;2995;1;
c_BPPC_4_0_9.txt_0.8;7;707;1;
c_BPPC_4_0_3.txt_0.2;0;0;0;
c_BPPC_7_0_2.txt_0.1;0;0;0;
c_BPPC_5_0_7.txt_0.4;9;3492;1;
c_BPPC_3_0_4.txt_0.3;0;0;0;
c_BPPC_4_0_1.txt_0.6;11;1025;1;
c_BPPC_2_0_6.txt_0.6;8;790;1;
c_BPPC_2_0_9.txt_0.6;9;772;1;
c_BPPC_1_0_4.txt_0.7;6;504;1;
c_BPPC_4_0_3.txt_0.4;0;0;0;
c_BPPC_3_0_4.txt_0.4;15;1412;1;
c_BPPC_3_0_6.txt_0.8;6;587;1;
c_BPPC_3_0_9.txt_0.5;12;1055;1;
c_BPPC_5_0_10.txt_0.9;3;1189;1;
c_BPPC_2_0_5.txt_0.8;6;519;1;
c_BPPC_2_0_7.txt_0.6;8;791;1;
c_BPPC_7_0_10.txt_0.2;0;0;0;
c_BPPC_2_0_2.txt_0.6;8;776;1;
c_BPPC_4_0_4.txt_0.4;0;0;0;
c_BPPC_6_0_7.txt_0.2;21;7639;1;
c_BPPC_6_0_1.txt_0.1;33;11901;1;
c_BPPC_4_0_9.txt_0.9;5;490;1;
c_BPPC_6_0_2.txt_0.3;16;5653;1;
c_BPPC_5_0_4.txt_0.5;7;2711;1;
c_BPPC_1_0_8.txt_0.9;3;284;1;
c_BPPC_1_0_10.txt_0.3;14;1129;1;
c_BPPC_1_0_7.txt_0.3;14;1228;1;
c_BPPC_7_0_2.txt_0.9;4;1808;1;
c_BPPC_1_0_10.txt_0.8;5;430;1;
c_BPPC_2_0_10.txt_0.2;0;0;0;
c_BPPC_8_0_8.txt_0.6;10;4329;1;
c_BPPC_6_0_4.txt_0.4;12;4530;1;
c_BPPC_3_0_5.txt_0.1;0;0;0;
c_BPPC_6_0_9.txt_0.7;6;2334;1;
c_BPPC_5_0_1.txt_0.1;24;8307;1;
c_BPPC_7_0_8.txt_0.1;0;0;0;
c_BPPC_8_0_7.txt_0.8;6;2545;1;
c_BPPC_1_0_4.txt_0.1;32;2545;1;
c_BPPC_1_0_1.txt_0.2;20;1601;1;
c_BPPC_2_0_10.txt_0.7;6;625;1;
c_BPPC_5_0_5.txt_0.3;12;4477;1;
c_BPPC_4_0_2.txt_0.6;11;1013;1;
c_BPPC_1_0_3.txt_0.2;20;1593;1;
c_BPPC_2_0_2.txt_0.3;16;1489;1;
c_BPPC_4_0_3.txt_0.3;0;0;0;
c_BPPC_3_0_2.txt_0.8;6;622;1;
c_BPPC_6_0_10.txt_0.8;5;2136;1;
c_BPPC_3_0_8.txt_0.7;8;726;1;
c_BPPC_1_0_9.txt_0.2;21;1830;1;
c_BPPC_3_0_3.txt_0.4;15;1390;1;
c_BPPC_3_0_6.txt_0.3;0;0;0;
c_BPPC_2_0_8.txt_0.6;9;793;1;
c_BPPC_7_0_6.txt_0.2;0;0;0;
c_BPPC_5_0_9.txt_0.7;6;2157;1;
c_BPPC_8_0_1.txt_0.8;6;2664;1;
c_BPPC_6_0_3.txt_0.5;9;3688;1;
c_BPPC_3_0_3.txt_0.8;6;567;1;
c_BPPC_1_0_5.txt_0.7;6;534;1;
c_BPPC_3_0_7.txt_0.3;0;0;0;
c_BPPC_2_0_3.txt_0.5;11;995;1;
c_BPPC_5_0_2.txt_0.3;11;4322;1;
c_BPPC_4_0_7.txt_0.1;0;0;0;
c_BPPC_2_0_7.txt_0.8;6;498;1;
c_BPPC_3_0_3.txt_0.3;0;0;0;
c_BPPC_6_0_9.txt_0.5;9;3486;1;
c_BPPC_5_0_9.txt_0.1;22;8063;1;
c_BPPC_7_0_10.txt_0.3;17;7117;1;
c_BPPC_2_0_3.txt_0.7;7;692;1;
c_BPPC_1_0_10.txt_0.4;11;939;1;
c_BPPC_5_0_8.txt_0.8;4;1454;1;
c_BPPC_6_0_10.txt_0.9;4;1600;1;
c_BPPC_2_0_5.txt_0.2;0;0;0;
c_BPPC_5_0_7.txt_0.2;16;6036;1;
c_BPPC_8_0_7.txt_0.9;5;2070;1;
c_BPPC_4_0_6.txt_0.6;12;1069;1;
c_BPPC_4_0_7.txt_0.2;0;0;0;
c_BPPC_8_0_7.txt_0.7;8;3420;1;
c_BPPC_5_0_3.txt_0.9;3;1314;1;
c_BPPC_1_0_10.txt_0.9;4;370;1;
c_BPPC_1_0_7.txt_0.6;7;627;1;
c_BPPC_7_0_8.txt_0.7;8;3188;1;
c_BPPC_4_0_4.txt_0.6;12;1054;1;
c_BPPC_2_0_1.txt_0.8;5;479;1;
c_BPPC_6_0_3.txt_0.1;32;11409;1;
c_BPPC_7_0_7.txt_0.8;5;2267;1;
c_BPPC_2_0_6.txt_0.2;0;0;0;
c_BPPC_7_0_2.txt_0.3;17;7088;1;
c_BPPC_8_0_8.txt_0.8;6;2716;1;
c_BPPC_4_0_2.txt_0.8;7;670;1;
c_BPPC_4_0_4.txt_0.2;0;0;0;
c_BPPC_6_0_2.txt_0.6;8;2820;1;
c_BPPC_4_0_2.txt_0.5;0;0;0;
c_BPPC_4_0_10.txt_0.8;7;665;1;
c_BPPC_6_0_5.txt_0.9;4;1476;1;
c_BPPC_5_0_4.txt_0.8;4;1672;1;
c_BPPC_3_0_4.txt_0.2;0;0;0;
c_BPPC_3_0_9.txt_0.8;7;606;1;
c_BPPC_8_0_8.txt_0.9;5;2167;1;
c_BPPC_7_0_6.txt_0.8;6;2395;1;
c_BPPC_2_0_4.txt_0.1;0;0;0;
c_BPPC_2_0_10.txt_0.5;11;913;1;
c_BPPC_2_0_7.txt_0.7;7;670;1;
