instance,lp2,ub_l2,ub_l2g
R15/BPPC_1_0_1.txt_0.9.bz2,3551.745226951528,576,646
R15/BPPC_4_0_1.txt_0.1.bz2,25204.31617380972,17924,17899
R15/BPPC_4_0_1.txt_0.2.bz2,24998.686413484917,15255,15058
R15/BPPC_4_0_1.txt_0.3.bz2,24389.83349072048,12856,12888
R15/BPPC_4_0_1.txt_0.4.bz2,24659.853013376756,10310,10653
R15/BPPC_4_0_1.txt_0.5.bz2,23844.402893222097,8806,8851
R15/BPPC_4_0_1.txt_0.6.bz2,23590.52957723871,6722,6742
R15/BPPC_4_0_1.txt_0.7.bz2,24733.00290929032,5566,5589
R15/BPPC_4_0_1.txt_0.8.bz2,23795.0508497456,3825,3994
R15/BPPC_4_0_1.txt_0.9.bz2,22763.528322935017,2266,2357
R15/BPPC_5_0_1.txt_0.1.bz2,2585.3669314454496,1690,1743
R15/BPPC_5_0_1.txt_0.2.bz2,2239.255749780164,1319,1338
R15/BPPC_5_0_1.txt_0.3.bz2,2241.548304779367,1162,1248
R15/BPPC_5_0_1.txt_0.4.bz2,2260.725469297442,1062,1135
R15/BPPC_5_0_1.txt_0.5.bz2,2094.2292400520914,921,996
R15/BPPC_5_0_1.txt_0.6.bz2,1854.1014650663028,806,882
R15/BPPC_5_0_1.txt_0.7.bz2,2012.6820987833191,688,810
R15/BPPC_5_0_1.txt_0.8.bz2,1813.5821217793064,515,598
R15/BPPC_5_0_1.txt_0.9.bz2,1704.5166838516789,342,419
R15/BPPC_8_0_1.txt_0.1.bz2,5020.950542736154,4539,4576
R15/BPPC_8_0_1.txt_0.2.bz2,4914.48469689361,4217,4263
R15/BPPC_8_0_1.txt_0.3.bz2,5148.733318338711,4129,4134
R15/BPPC_8_0_1.txt_0.4.bz2,5054.441843498558,3830,3896
R15/BPPC_8_0_1.txt_0.5.bz2,5084.045956893487,3670,3678
R15/BPPC_8_0_1.txt_0.6.bz2,5040.572328659768,3346,3404
R15/BPPC_8_0_1.txt_0.7.bz2,4891.9770371587965,2816,2898
R15/BPPC_8_0_1.txt_0.8.bz2,5034.35442238657,2287,2323
R15/BPPC_8_0_1.txt_0.9.bz2,4794.927719901396,1408,1421
R1/BPPC_1_0_1.txt_0.1.bz2,413.79884164430007,402,402
R1/BPPC_1_0_1.txt_0.2.bz2,475.4342385208397,456,458
R1/BPPC_1_0_1.txt_0.3.bz2,427.3359492945843,373,393
R1/BPPC_1_0_1.txt_0.4.bz2,462.6937652972604,436,439
R1/BPPC_1_0_1.txt_0.5.bz2,501.16033423114453,447,452
R1/BPPC_1_0_1.txt_0.6.bz2,470.7354040096828,392,423
R1/BPPC_1_0_1.txt_0.7.bz2,463.47836332427687,396,440
R1/BPPC_1_0_1.txt_0.8.bz2,451.3901730562876,346,361
R1/BPPC_1_0_1.txt_0.9.bz2,475.0788863882225,338,395
R1/BPPC_4_0_1.txt_0.1.bz2,672.416382413283,657,659
R1/BPPC_4_0_1.txt_0.2.bz2,635.1838188621525,603,611
R1/BPPC_4_0_1.txt_0.3.bz2,656.3575565127819,636,649
R1/BPPC_4_0_1.txt_0.4.bz2,650.2418640344458,614,628
R1/BPPC_4_0_1.txt_0.5.bz2,632.9842446848727,586,604
R1/BPPC_4_0_1.txt_0.6.bz2,652.1565806395868,575,596
R1/BPPC_4_0_1.txt_0.7.bz2,689.5535321731543,569,584
R1/BPPC_4_0_1.txt_0.8.bz2,665.0268563338183,587,587
R1/BPPC_4_0_1.txt_0.9.bz2,662.8497541608795,536,561
R1/BPPC_5_0_1.txt_0.1.bz2,361.660696517413,294,294
R1/BPPC_5_0_1.txt_0.2.bz2,347.5353159851301,293,293
R1/BPPC_5_0_1.txt_0.3.bz2,351.1033245635015,291,291
R1/BPPC_5_0_1.txt_0.4.bz2,351.2090022866506,290,297
R1/BPPC_5_0_1.txt_0.5.bz2,359.2565515802257,292,295
R1/BPPC_5_0_1.txt_0.6.bz2,364.6958366639894,282,288
R1/BPPC_5_0_1.txt_0.7.bz2,365.3407587377366,295,299
R1/BPPC_5_0_1.txt_0.8.bz2,338.18318450213445,291,294
R1/BPPC_5_0_1.txt_0.9.bz2,344.80269781595206,266,286
R1/BPPC_8_0_1.txt_0.1.bz2,391.25779283219913,331,331
R1/BPPC_8_0_1.txt_0.2.bz2,377.6176743114081,320,320
R1/BPPC_8_0_1.txt_0.3.bz2,383.72687758701784,348,348
R1/BPPC_8_0_1.txt_0.4.bz2,390.19187762906313,358,358
R1/BPPC_8_0_1.txt_0.5.bz2,387.9794931389157,340,340
R1/BPPC_8_0_1.txt_0.6.bz2,389.6432101713127,300,300
R1/BPPC_8_0_1.txt_0.7.bz2,390.2129245940196,347,347
R1/BPPC_8_0_1.txt_0.8.bz2,390.1197652410415,304,322
R1/BPPC_8_0_1.txt_0.9.bz2,386.60451802568474,297,298
