instance;weight;time;steps
BPPC_8_0_3.txt_0.9.bz2;2163;0.000877857;163
BPPC_8_0_1.txt_0.1.bz2;3110;0.00231194;212
BPPC_1_0_8.txt_0.1.bz2;590;0.000193834;50
BPPC_4_0_4.txt_0.4.bz2;590;4.31877;1714425
BPPC_5_0_7.txt_0.1.bz2;3110;0.000184059;45
BPPC_6_0_7.txt_0.9.bz2;1475;0.000259876;15
BPPC_1_0_4.txt_0.5.bz2;530;0.00137401;2310
BPPC_5_0_5.txt_0.1.bz2;3110;0.000269175;33
BPPC_6_0_5.txt_0.5.bz2;3088;0.00135589;1569
BPPC_8_0_9.txt_0.8.bz2;2667;0.00538206;724
BPPC_2_0_8.txt_0.2.bz2;610;0.0067482;3126
BPPC_6_0_8.txt_0.9.bz2;1407;0.000138044;31
BPPC_3_0_4.txt_0.4.bz2;580;0.295591;215920
BPPC_8_0_5.txt_0.7.bz2;3080;0.0223711;8540
BPPC_5_0_8.txt_0.9.bz2;1267;0.000226021;19
BPPC_5_0_5.txt_0.7.bz2;2078;0.000112057;32
BPPC_7_0_8.txt_0.8.bz2;2382;0.000650883;178
BPPC_5_0_1.txt_0.8.bz2;1760;0.000501871;22
BPPC_5_0_7.txt_0.3.bz2;3100;0.000749111;1696
BPPC_6_0_7.txt_0.6.bz2;2968;0.000504017;227
BPPC_8_0_3.txt_0.7.bz2;3065;0.0221529;8567
BPPC_4_0_9.txt_0.2.bz2;650;0.148771;22858
BPPC_7_0_10.txt_0.1.bz2;3110;0.000468016;83
BPPC_5_0_9.txt_0.3.bz2;3100;0.000813007;1223
BPPC_5_0_3.txt_0.8.bz2;1656;0.000646114;33
BPPC_6_0_8.txt_0.5.bz2;3082;0.00137806;1881
BPPC_1_0_7.txt_0.9.bz2;347;0.000140905;16
BPPC_3_0_9.txt_0.5.bz2;560;0.27272;265940
BPPC_7_0_2.txt_0.9.bz2;1808;0.00041604;41
BPPC_7_0_4.txt_0.8.bz2;2434;0.000567913;187
BPPC_4_0_5.txt_0.5.bz2;578;3.33183;1595898
BPPC_6_0_1.txt_0.1.bz2;3110;0.000221014;43
BPPC_5_0_9.txt_0.8.bz2;1811;8.89301e-05;23
BPPC_3_0_8.txt_0.9.bz2;443;0.00167203;199
BPPC_5_0_3.txt_0.9.bz2;1314;7.39098e-05;10
BPPC_6_0_4.txt_0.3.bz2;3110;0.00276208;5282
BPPC_8_0_10.txt_0.6.bz2;3094;0.194553;163123
BPPC_6_0_6.txt_0.9.bz2;1642;0.00027895;17
BPPC_5_0_7.txt_0.6.bz2;2495;0.000504017;67
BPPC_4_0_9.txt_0.4.bz2;600;6.54985;2556717
BPPC_4_0_1.txt_0.6.bz2;560;1.13942;751584
BPPC_8_0_5.txt_0.9.bz2;2163;0.000861883;153
BPPC_2_0_10.txt_0.8.bz2;490;0.00264502;272
BPPC_4_0_7.txt_0.8.bz2;520;0.049289;18400
BPPC_3_0_5.txt_0.7.bz2;530;0.019841;12197
BPPC_7_0_8.txt_0.2.bz2;3110;0.000355005;158
BPPC_4_0_3.txt_0.7.bz2;538;0.314683;195453
BPPC_3_0_10.txt_0.9.bz2;456;0.00135303;202
BPPC_3_0_5.txt_0.9.bz2;455;0.00185895;216
BPPC_2_0_1.txt_0.3.bz2;587;0.0130539;10772
BPPC_6_0_2.txt_0.8.bz2;2048;0.00103307;56
BPPC_7_0_5.txt_0.2.bz2;3110;0.000666142;48
BPPC_8_0_9.txt_0.4.bz2;3110;0.00043416;18
BPPC_1_0_9.txt_0.7.bz2;502;0.00100112;110
BPPC_8_0_3.txt_0.6.bz2;3098;0.140425;111597
BPPC_3_0_4.txt_0.7.bz2;530;0.019141;12449
BPPC_7_0_2.txt_0.1.bz2;3110;0.00158405;74
BPPC_1_0_1.txt_0.3.bz2;570;0.00148988;2281
BPPC_8_0_3.txt_0.1.bz2;3110;0.000920057;120
BPPC_6_0_8.txt_0.1.bz2;3110;0.000444889;73
