class,mult,type,density,weight,nodes,time,algo,time_limit
C,1,7,0.4,1040,70,3.92199e-4,CFS,600
C,1,1,0.9,180,36,7.40051e-4,CFS,600
C,1,5,0.4,1030,17,1.02997e-4,CFS,600
C,1,7,0.7,1030,32,0.00135779,CFS,600
C,1,5,0.9,1003,9,4.69685e-5,CFS,600
C,1,1,0.8,183,65,1.43051e-4,CFS,600
C,1,1,0.2,210,22,1.84774e-4,CFS,600
C,1,7,0.6,1030,56,3.24965e-4,CFS,600
C,1,5,0.9,1003,22,8.39233e-5,CFS,600
C,1,5,0.8,1029,44,8.01086e-5,CFS,600
C,1,6,0.6,1030,30,3.78132e-4,CFS,600
C,1,5,0.6,1030,28,2.72036e-4,CFS,600
C,1,3,0.5,210,104,9.88007e-4,CFS,600
C,1,1,0.3,210,9,2.55108e-4,CFS,600
C,1,3,0.9,190,209,9.14812e-4,CFS,600
C,1,2,0.7,200,74,3.96967e-4,CFS,600
C,1,6,0.5,1030,29,1.69039e-4,CFS,600
C,1,7,0.2,1040,0,0,CFS,600
C,1,5,0.2,1030,61,4.32968e-4,CFS,600
C,1,6,0.2,1030,62,4.20809e-4,CFS,600
C,1,6,0.6,1030,29,1.58072e-4,CFS,600
C,1,4,0.7,210,160,0.00136709,CFS,600
C,1,1,0.1,210,11,5.10216e-5,CFS,600
C,1,3,0.5,210,28,4.79937e-4,CFS,600
C,1,7,0.5,1040,60,0.00169802,CFS,600
C,1,7,0.2,1040,0,0,CFS,600
C,1,2,0.4,210,11,1.4782e-4,CFS,600
C,1,8,0.5,1030,95,0.00180697,CFS,600
C,1,8,0.5,1030,122,0.00167704,CFS,600
C,1,6,0.5,1030,59,3.88861e-4,CFS,600
C,1,1,0.7,200,71,2.43902e-4,CFS,600
C,1,8,0.7,1030,85,5.76973e-4,CFS,600
C,1,6,0.7,1030,66,1.65939e-4,CFS,600
C,1,4,0.8,200,427,0.00321007,CFS,600
C,1,5,0.6,1030,55,2.39849e-4,CFS,600
C,1,2,0.5,200,35,2.63929e-4,CFS,600
C,1,5,0.6,1030,11,2.35081e-4,CFS,600
C,1,3,0.8,200,140,0.00122595,CFS,600
C,1,3,0.8,200,118,5.16891e-4,CFS,600
C,1,3,0.3,210,36,0.00105596,CFS,600
C,1,8,0.4,1040,0,0,CFS,600
C,1,5,0.1,1030,53,1.87874e-4,CFS,600
C,1,8,0.8,1030,28,0.00107789,CFS,600
C,1,8,0.4,1040,0,0,CFS,600
C,1,2,0.2,210,24,4.21047e-4,CFS,600
C,1,3,0.2,220,7,3.30925e-4,CFS,600
C,1,8,0.6,1030,70,0.00153399,CFS,600
C,1,4,0.8,200,703,0.00391698,CFS,600
C,1,1,0.3,210,9,2.16961e-4,CFS,600
C,1,6,0.8,1030,32,9.42945e-4,CFS,600
C,1,2,0.3,210,11,1.49965e-4,CFS,600
C,1,8,0.3,1040,0,0,CFS,600
C,1,5,0.5,1030,22,1.09911e-4,CFS,600
C,1,6,0.7,1030,13,2.72036e-4,CFS,600
C,1,1,0.8,188,50,0.00140309,CFS,600
C,1,5,0.6,1030,59,5.71012e-4,CFS,600
C,1,5,0.1,1030,43,6.38008e-4,CFS,600
C,1,3,0.9,190,98,4.94003e-4,CFS,600
C,1,1,0.8,186,59,3.1209e-4,CFS,600
C,1,2,0.4,0,0,0,CFS,600
C,1,7,0.8,1030,66,3.94106e-4,CFS,600
C,1,8,0.9,1030,11,5.64098e-4,CFS,600
C,1,1,0.9,186,14,1.11103e-4,CFS,600
C,1,4,0.2,220,14,0.00108099,CFS,600
C,1,8,0.9,1030,138,4.58956e-4,CFS,600
C,1,1,0.1,210,16,1.37091e-4,CFS,600
C,1,6,0.4,1030,62,0.00138783,CFS,600
C,1,2,0.7,200,72,2.63929e-4,CFS,600
C,1,1,0.3,210,9,2.2006e-4,CFS,600
C,1,8,0.5,1040,0,0,CFS,600
C,1,7,0.3,1040,0,0,CFS,600
C,1,7,0.9,1030,56,3.39031e-4,CFS,600
C,1,4,0.6,220,251,0.00239801,CFS,600
C,1,3,0.6,210,68,4.99964e-4,CFS,600
C,1,6,0.2,1030,75,5.1403e-4,CFS,600
C,1,1,0.3,210,8,3.07083e-4,CFS,600
C,1,5,0.2,1030,40,9.12905e-4,CFS,600
C,1,2,0.5,210,57,8.64983e-4,CFS,600
C,1,5,0.2,1030,36,3.09944e-4,CFS,600
C,1,8,0.8,1030,87,5.71966e-4,CFS,600
C,1,7,0.2,1040,127,5.93901e-4,CFS,600
C,1,4,0.9,190,792,0.0022428,CFS,600
C,1,1,0.6,196,61,1.5521e-4,CFS,600
C,1,7,0.8,1030,87,2.80857e-4,CFS,600
C,1,5,0.4,1030,37,3.07083e-4,CFS,600
C,1,8,0.2,1040,0,0,CFS,600
C,1,6,0.5,1030,36,0.00237203,CFS,600
C,1,3,0.4,210,77,6.07967e-4,CFS,600
C,1,1,0.1,220,10,1.39952e-4,CFS,600
C,1,4,0.3,220,11,1.37091e-4,CFS,600
C,1,5,0.3,1030,49,8.9407e-4,CFS,600
C,1,4,0.1,220,14,1.53065e-4,CFS,600
C,1,5,0.5,1030,15,9.799e-5,CFS,600
C,1,8,0.9,1030,31,4.05788e-4,CFS,600
C,1,3,0.2,220,13,2.02894e-4,CFS,600
C,1,2,0.6,200,124,5.43118e-4,CFS,600
C,1,2,0.7,200,106,4.11034e-4,CFS,600
C,1,2,0.2,220,7,3.19481e-5,CFS,600
C,1,3,0.6,210,99,0.00177217,CFS,600
C,1,1,0.5,200,34,2.86102e-4,CFS,600
C,1,1,0.5,200,91,1.67847e-4,CFS,600
C,1,4,0.7,210,132,0.00169802,CFS,600
C,1,3,0.1,220,13,9.67979e-5,CFS,600
C,1,4,0.2,220,13,7.23124e-4,CFS,600
C,1,1,0.9,180,47,0.00134802,CFS,600
C,1,1,0.2,210,8,1.98126e-4,CFS,600
C,1,4,0.9,199,415,0.00478005,CFS,600
C,1,4,0.7,210,312,0.00193715,CFS,600
C,1,4,0.6,210,113,8.0204e-4,CFS,600
C,1,8,0.6,1030,80,6.18935e-4,CFS,600
C,1,5,0.7,1030,18,2.26021e-4,CFS,600
C,1,3,0.1,220,12,1.02997e-4,CFS,600
C,1,8,0.2,1040,0,0,CFS,600
C,1,7,0.4,1030,108,4.68016e-4,CFS,600
C,1,1,0.2,210,20,2.41995e-4,CFS,600
C,1,6,0.4,1030,39,3.55005e-4,CFS,600
C,1,3,0.8,200,167,6.09159e-4,CFS,600
C,1,8,0.1,1040,0,0,CFS,600
C,1,7,0.5,1040,65,4.91858e-4,CFS,600
C,1,6,0.6,1030,69,3.38078e-4,CFS,600
C,1,2,0.1,220,7,7.52926e-4,CFS,600
C,1,5,0.3,1030,23,1.13964e-4,CFS,600
C,1,3,0.5,220,37,3.0303e-4,CFS,600
C,1,2,0.3,210,33,2.43902e-4,CFS,600
C,1,3,0.7,200,376,0.00127912,CFS,600
C,1,8,0.6,1030,87,6.18935e-4,CFS,600
C,1,4,0.5,220,314,0.00141811,CFS,600
C,1,1,0.5,200,36,2.99931e-4,CFS,600
C,1,4,0.5,220,8,2.76089e-4,CFS,600
C,1,3,0.3,220,10,7.00951e-5,CFS,600
C,1,1,0.8,186,105,6.05822e-4,CFS,600
C,1,4,0.9,190,781,0.00161409,CFS,600
C,1,8,0.7,1030,79,0.00121093,CFS,600
C,1,3,0.8,200,185,8.79049e-4,CFS,600
C,1,5,0.5,1030,30,1.57118e-4,CFS,600
C,1,6,0.7,1030,14,3.08037e-4,CFS,600
C,1,8,0.8,1030,61,9.74894e-4,CFS,600
C,1,1,0.6,200,26,2.28882e-4,CFS,600
C,1,8,0.7,1030,44,6.74963e-4,CFS,600
C,1,8,0.3,1040,0,0,CFS,600
C,1,3,0.1,220,13,5.55992e-4,CFS,600
C,1,2,0.2,210,17,1.8692e-4,CFS,600
C,1,1,0.9,180,57,3.24011e-4,CFS,600
C,1,4,0.7,210,187,0.00149798,CFS,600
C,1,3,0.2,220,12,4.47989e-4,CFS,600
C,1,7,0.1,1040,0,0,CFS,600
C,1,2,0.8,190,156,7.02143e-4,CFS,600
C,1,8,0.9,1030,7,6.02961e-4,CFS,600
C,1,2,0.4,210,9,3.26872e-4,CFS,600
C,1,6,0.8,1030,22,7.41959e-4,CFS,600
C,1,5,0.1,1030,54,7.56025e-4,CFS,600
C,1,3,0.1,220,13,1.44958e-4,CFS,600
C,1,4,0.6,220,35,0.00109887,CFS,600
C,1,5,0.5,1030,45,1.33038e-4,CFS,600
C,1,2,0.9,187,60,2.52008e-4,CFS,600
C,1,7,0.2,1040,0,0,CFS,600
C,1,5,0.1,1030,48,3.19004e-4,CFS,600
C,1,3,0.8,200,144,0.00102592,CFS,600
C,1,6,0.1,1030,78,3.28064e-4,CFS,600
C,1,3,0.5,210,23,4.7183e-4,CFS,600
C,1,7,0.7,1030,36,2.6989e-4,CFS,600
C,1,1,0.7,199,77,2.89917e-4,CFS,600
C,1,8,0.6,1030,113,0.00130892,CFS,600
C,1,7,0.4,1030,92,8.30889e-4,CFS,600
C,1,1,0.4,209,18,2.9397e-4,CFS,600
C,1,3,0.1,220,7,1.65224e-4,CFS,600
C,1,3,0.6,210,47,0.00113702,CFS,600
C,1,6,0.2,1030,62,8.40187e-4,CFS,600
C,1,8,0.8,1030,25,7.45058e-4,CFS,600
C,1,4,0.6,220,43,0.00106502,CFS,600
C,1,4,0.3,220,14,0.00301385,CFS,600
C,1,8,0.5,1040,107,0.00248909,CFS,600
C,1,2,0.6,207,141,9.42945e-4,CFS,600
C,1,5,0.8,1029,47,7.79629e-5,CFS,600
C,1,6,0.3,1040,0,0,CFS,600
C,1,6,0.4,1030,49,4.97818e-4,CFS,600
C,1,3,0.4,220,27,3.11852e-4,CFS,600
C,1,6,0.5,1030,26,0.00129199,CFS,600
C,1,5,0.8,1029,37,6.69956e-5,CFS,600
C,1,1,0.2,210,14,2.6083e-4,CFS,600
C,1,2,0.2,210,18,1.66893e-4,CFS,600
C,1,2,0.3,210,7,6.50883e-5,CFS,600
C,1,7,0.6,1030,36,2.9397e-4,CFS,600
C,1,4,0.1,220,16,2.44141e-4,CFS,600
C,1,6,0.4,1030,49,4.68016e-4,CFS,600
C,1,8,0.3,1030,171,0.00183082,CFS,600
C,1,2,0.1,220,8,9.20296e-5,CFS,600
C,1,3,0.3,220,7,2.74181e-4,CFS,600
C,1,8,0.2,1040,0,0,CFS,600
C,1,1,0.7,198,50,3.24965e-4,CFS,600
C,1,8,0.8,1040,30,6.33955e-4,CFS,600
C,1,8,0.4,1040,136,0.00108981,CFS,600
C,1,1,0.3,210,12,2.56062e-4,CFS,600
C,1,8,0.6,1040,75,0.00103807,CFS,600
C,1,8,0.7,1040,44,0.00067591699999999995,CFS,600
C,1,7,0.9,1030,62,4.08173e-4,CFS,600
C,1,8,0.7,1040,55,6.81877e-4,CFS,600
C,1,8,0.5,1030,101,7.67946e-4,CFS,600
C,1,2,0.6,200,92,4.86851e-4,CFS,600
C,1,5,0.4,1030,25,3.30925e-4,CFS,600
C,1,6,0.4,1030,48,2.03848e-4,CFS,600
C,1,3,0.6,210,117,4.94957e-4,CFS,600
C,1,6,0.5,1030,29,3.40939e-4,CFS,600
C,1,5,0.7,1030,30,9.41753e-5,CFS,600
C,1,5,0.1,1030,71,0.00120783,CFS,600
C,1,1,0.5,200,14,7.67946e-4,CFS,600
C,1,2,0.7,199,69,9.56059e-4,CFS,600
C,1,5,0.1,1030,46,0.00103688,CFS,600
C,1,5,0.1,1030,55,2.51055e-4,CFS,600
C,1,4,0.1,220,16,1.68085e-4,CFS,600
C,1,8,0.8,1030,27,4.50134e-4,CFS,600
C,1,6,0.2,1030,74,3.53813e-4,CFS,600
C,1,3,0.8,200,188,6.91891e-4,CFS,600
C,1,4,0.1,220,16,1.9002e-4,CFS,600
C,1,4,0.3,220,12,3.44038e-4,CFS,600
C,1,7,0.4,1030,92,4.94003e-4,CFS,600
C,1,3,0.6,210,56,5.46932e-4,CFS,600
C,1,2,0.1,210,18,1.65224e-4,CFS,600
C,1,3,0.4,220,26,3.22104e-4,CFS,600
C,1,5,0.1,1030,49,1.8096e-4,CFS,600
C,1,7,0.1,1040,0,0,CFS,600
C,1,4,0.5,220,62,8.08954e-4,CFS,600
C,1,8,0.1,1040,0,0,CFS,600
C,1,6,0.9,1029,61,2.28167e-4,CFS,600
C,1,4,0.8,200,554,0.00487304,CFS,600
C,1,4,0.4,220,11,1.23978e-4,CFS,600
C,1,2,0.4,210,8,1.30177e-4,CFS,600
C,1,5,0.3,1030,37,1.46866e-4,CFS,600
C,1,5,0.2,1030,62,0.00105,CFS,600
C,1,7,0.4,1030,87,0.00168395,CFS,600
C,1,3,0.9,190,175,0.00213599,CFS,600
C,1,5,0.6,1030,29,1.10865e-4,CFS,600
C,1,6,0.2,1040,0,0,CFS,600
C,1,6,0.9,1030,44,1.1301e-4,CFS,600
C,1,8,0.3,1040,0,0,CFS,600
C,1,5,0.6,1030,29,3.438e-4,CFS,600
C,1,6,0.7,1030,22,3.01123e-4,CFS,600
C,1,2,0.9,184,130,3.78132e-4,CFS,600
C,1,4,0.3,220,9,6.63042e-4,CFS,600
C,1,5,0.3,1030,45,3.0899e-4,CFS,600
C,1,6,0.6,1030,28,3.33071e-4,CFS,600
C,1,2,0.9,185,78,2.47955e-4,CFS,600
C,1,6,0.7,1030,34,0.00110793,CFS,600
C,1,4,0.1,220,16,5.69105e-4,CFS,600
C,1,6,0.7,1030,40,1.48058e-4,CFS,600
C,1,4,0.8,200,850,0.0038588,CFS,600
C,1,1,0.4,200,18,6.08921e-4,CFS,600
C,1,6,0.8,1030,18,5.19991e-4,CFS,600
C,1,3,0.9,190,194,0.00143313,CFS,600
C,1,8,0.3,1040,144,0.00106096,CFS,600
C,1,7,0.7,1030,35,4.09842e-4,CFS,600
C,1,6,0.5,1030,41,7.14064e-4,CFS,600
C,1,7,0.5,1040,0,0,CFS,600
C,1,3,0.3,220,9,4.251e-4,CFS,600
C,1,1,0.6,190,61,1.64986e-4,CFS,600
C,1,3,0.2,220,9,2.21014e-4,CFS,600
C,1,3,0.2,220,11,4.8995e-4,CFS,600
C,1,2,0.4,220,40,1.80006e-4,CFS,600
C,1,5,0.3,1030,30,3.35932e-4,CFS,600
C,1,3,0.2,220,10,1.74999e-4,CFS,600
C,1,8,0.5,1030,98,0.0011189,CFS,600
C,1,8,0.9,1030,12,0.00194001,CFS,600
C,1,6,0.7,1030,26,1.42097e-4,CFS,600
C,1,4,0.3,220,10,9.8896e-4,CFS,600
C,1,2,0.6,200,107,2.16961e-4,CFS,600
C,1,7,0.2,1040,0,0,CFS,600
C,1,6,0.2,1030,59,2.67029e-4,CFS,600
C,1,1,0.1,210,14,4.44889e-4,CFS,600
C,1,3,0.3,220,12,8.19921e-4,CFS,600
C,1,1,0.1,210,18,1.43051e-4,CFS,600
C,1,8,0.2,1040,0,0,CFS,600
C,1,4,0.1,220,16,6.35147e-4,CFS,600
C,1,7,0.7,1030,37,2.69175e-4,CFS,600
C,1,8,0.7,1030,43,0.00301814,CFS,600
C,1,4,0.9,192,1107,0.00241899,CFS,600
C,1,5,0.5,1030,24,6.54936e-4,CFS,600
C,1,4,0.4,220,12,2.36988e-4,CFS,600
C,1,6,0.3,1030,56,6.34909e-4,CFS,600
C,1,6,0.3,1030,69,2.82049e-4,CFS,600
C,1,2,0.8,190,84,0.00115585,CFS,600
C,1,7,0.5,1040,0,0,CFS,600
C,1,5,0.4,1030,23,8.76188e-4,CFS,600
C,1,7,0.9,1030,37,4.05073e-4,CFS,600
C,1,6,0.7,1030,42,3.1209e-4,CFS,600
C,1,3,0.7,207,184,0.00118303,CFS,600
C,1,2,0.8,190,168,4.26054e-4,CFS,600
C,1,6,0.5,1030,38,0.00247407,CFS,600
C,1,7,0.5,1030,62,0.00144982,CFS,600
C,1,8,0.9,1030,63,6.68049e-4,CFS,600
C,1,4,0.2,220,15,2.72036e-4,CFS,600
C,1,8,0.1,1040,0,0,CFS,600
C,1,2,0.4,210,2,2.98023e-5,CFS,600
C,1,4,0.2,220,13,7.46965e-4,CFS,600
C,1,3,0.5,210,47,0.001019,CFS,600
C,1,2,0.8,190,116,0.00227284,CFS,600
C,1,7,0.3,1030,94,8.58784e-4,CFS,600
C,1,5,0.6,1030,19,1.18971e-4,CFS,600
C,1,2,0.5,210,49,1.8692e-4,CFS,600
C,1,1,0.8,185,78,7.57933e-4,CFS,600
C,1,5,0.7,1030,48,1.0705e-4,CFS,600
C,1,4,0.7,210,355,0.00332093,CFS,600
C,1,1,0.9,178,49,1.38044e-4,CFS,600
C,1,6,0.8,1030,17,2.7585e-4,CFS,600
C,1,4,0.8,200,1151,0.00480103,CFS,600
C,1,6,0.7,1030,13,1.36137e-4,CFS,600
C,1,3,0.2,220,13,7.9155e-5,CFS,600
C,1,7,0.8,1030,18,6.15835e-4,CFS,600
C,1,2,0.5,210,25,2.34842e-4,CFS,600
C,1,4,0.8,210,135,0.00178313,CFS,600
C,1,3,0.7,200,273,7.36952e-4,CFS,600
C,1,7,0.8,1030,69,2.59161e-4,CFS,600
C,1,5,0.5,1030,26,7.03096e-4,CFS,600
