instance;weight;size;nodes;n_cut_weight;avg_cc;avg_min_k;avg_ratio;time
BPPC_3_0_10.txt_0.7.bz2;200;5;402586;231849;6.43957;1.8554;0.386232;111
BPPC_8_0_5.txt_0.3.bz2;1030;3;6512765;2833765;17.6008;14.9504;0.790796;12205
BPPC_6_0_5.txt_0.3.bz2;1030;3;78894;28161;7.56939;4.85606;0.608803;27
BPPC_8_0_4.txt_0.2.bz2;1030;3;10353667;4791232;26.7079;23.6941;0.824493;27344
BPPC_1_0_1.txt_0.2.bz2;210;6;300588;213560;12.247;6.03162;0.544327;46
BPPC_5_0_10.txt_0.5.bz2;1030;3;2920;781;4.15177;1.64716;0.398028;1
BPPC_2_0_4.txt_0.1.bz2;210;6;21279881;17541907;30.8685;18.473;0.64837;4796
BPPC_4_0_6.txt_0.8.bz2;210;6;800535;455259;4.47297;1.45993;0.365576;329
BPPC_7_0_7.txt_0.4.bz2;1040;4;440577;171290;8.03491;5.4646;0.639598;242
BPPC_5_0_9.txt_0.8.bz2;1029;3;185;18;3.60369;1.29958;0.363091;0
BPPC_3_0_6.txt_0.5.bz2;210;6;4263634;2961759;9.64167;3.98968;0.507227;1185
BPPC_7_0_6.txt_0.5.bz2;1030;3;256138;91585;6.10993;3.54113;0.559542;100
BPPC_5_0_1.txt_0.2.bz2;1030;3;14047;4322;7.24429;4.37136;0.575533;3
BPPC_1_0_9.txt_0.4.bz2;200;5;42320;26060;8.00441;3.27272;0.477763;8
BPPC_6_0_10.txt_0.2.bz2;1030;3;118519;52091;11.0456;7.39049;0.657144;49
BPPC_7_0_8.txt_0.7.bz2;1030;3;51614;15832;3.97855;1.53314;0.388385;19
BPPC_7_0_4.txt_0.2.bz2;1030;3;1105673;437642;16.3884;13.7067;0.774815;1191
BPPC_2_0_1.txt_0.7.bz2;200;5;40062;20426;4.90647;1.67355;0.380004;13
BPPC_2_0_1.txt_0.2.bz2;210;6;9360283;7376963;19.9969;11.0803;0.641268;2097
BPPC_5_0_5.txt_0.1.bz2;1030;3;17657;6316;9.80807;6.78925;0.649072;4
BPPC_6_0_3.txt_0.9.bz2;1030;3;235;11;3.47909;1.32751;0.379894;1
BPPC_2_0_9.txt_0.9.bz2;184;4;2439;794;3.63707;1.14166;0.331699;8
BPPC_2_0_1.txt_0.6.bz2;200;5;125636;69510;4.92643;1.9453;0.409569;27
BPPC_7_0_7.txt_0.1.bz2;1040;4;1470087;493800;22.8403;20.2313;0.828723;2042
BPPC_3_0_5.txt_0.2.bz2;220;7;160582679;135150039;34.177;20.7669;0.719535;71597
BPPC_1_0_9.txt_0.7.bz2;190;4;4104;1774;4.58053;1.49315;0.362351;1
BPPC_8_0_3.txt_0.3.bz2;1030;3;6625783;2944517;17.5654;14.8528;0.788108;12320
BPPC_7_0_3.txt_0.1.bz2;1030;3;1613409;638431;24.7651;21.8231;0.829802;2237
BPPC_7_0_8.txt_0.6.bz2;1030;3;125623;44697;4.68403;2.26058;0.471975;40
BPPC_8_0_9.txt_0.6.bz2;1030;3;1066265;385822;5.68443;3.24843;0.550912;543
BPPC_8_0_9.txt_0.9.bz2;1030;3;15529;3586;3.47795;1.15897;0.342688;39
BPPC_4_0_7.txt_0.6.bz2;220;7;27465853;18743955;5.93508;2.66161;0.465939;7847
BPPC_1_0_8.txt_0.1.bz2;210;6;462200;372078;22.3824;12.4633;0.606005;62
BPPC_5_0_10.txt_0.9.bz2;1006;3;39;0;3.56136;1.35682;0.381764;0
BPPC_6_0_3.txt_0.2.bz2;1030;3;107534;31749;9.58673;6.96022;0.669706;47
BPPC_3_0_1.txt_0.7.bz2;200;5;426177;238253;5.747;1.80324;0.38858;119
BPPC_8_0_8.txt_0.2.bz2;1040;4;9088913;3465168;25.5213;22.8932;0.838368;26689
BPPC_8_0_5.txt_0.1.bz2;1030;3;16890994;8869330;45.3883;41.436;0.874909;54434
BPPC_3_0_1.txt_0.8.bz2;200;5;95219;47132;4.7882;1.37045;0.342893;55
BPPC_7_0_5.txt_0.1.bz2;1040;4;1418420;466768;23.3313;20.6092;0.828957;2048
BPPC_7_0_6.txt_0.6.bz2;1030;3;123275;41183;4.73121;2.3157;0.473897;40
BPPC_4_0_7.txt_0.5.bz2;220;7;137843322;98951926;10.9847;4.05494;0.509546;43729
BPPC_6_0_10.txt_0.7.bz2;1030;3;4830;1269;3.97901;1.40716;0.365215;1
BPPC_7_0_7.txt_0.7.bz2;1030;3;49906;14930;3.93676;1.51787;0.386255;15
BPPC_6_0_9.txt_0.7.bz2;1030;3;5082;1305;3.78567;1.3375;0.360647;1
BPPC_4_0_8.txt_0.5.bz2;220;7;101989278;78783855;16.7891;4.64137;0.50826;33837
BPPC_8_0_4.txt_0.7.bz2;1030;3;431155;139418;4.38387;1.9585;0.443577;166
BPPC_4_0_2.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_3_0_10.txt_0.5.bz2;210;6;5027317;3442211;7.54848;3.90265;0.529601;1462
BPPC_8_0_4.txt_0.1.bz2;1040;4;13208361;5189476;39.8772;36.9623;0.871379;54480
BPPC_1_0_4.txt_0.6.bz2;200;5;10335;4791;4.61418;1.6627;0.380852;2
BPPC_2_0_10.txt_0.8.bz2;194;5;11866;4982;3.92336;1.3586;0.359707;8
BPPC_8_0_2.txt_0.3.bz2;1030;3;6187270;2502718;17.3491;14.638;0.786036;12367
BPPC_8_0_5.txt_0.5.bz2;1030;3;2190351;850858;7.93765;5.51488;0.651003;1763
BPPC_6_0_6.txt_0.1.bz2;1030;3;202857;93516;14.2072;11.0649;0.720798;84
BPPC_1_0_5.txt_0.7.bz2;190;4;4214;1993;4.32871;1.40198;0.349065;2
BPPC_8_0_2.txt_0.8.bz2;1030;3;117646;34385;3.7425;1.33114;0.360818;68
BPPC_1_0_4.txt_0.3.bz2;210;6;156043;102597;8.46766;3.31729;0.462748;22
BPPC_6_0_5.txt_0.9.bz2;1030;3;250;12;3.43536;1.29528;0.373814;1
BPPC_7_0_9.txt_0.9.bz2;1030;3;1994;293;3.35152;1.18401;0.351311;13
BPPC_8_0_4.txt_0.3.bz2;1040;4;6268379;2582219;17.415;14.784;0.791409;12188
BPPC_4_0_2.txt_0.5.bz2;220;7;95137624;71195083;12.0585;4.86243;0.542149;32913
BPPC_7_0_3.txt_0.3.bz2;1030;3;759588;305378;11.1163;8.44587;0.702601;563
BPPC_5_0_7.txt_0.5.bz2;1030;3;3214;942;4.56216;1.67204;0.388296;0
BPPC_5_0_5.txt_0.4.bz2;1030;3;5532;1571;4.78353;2.1896;0.451554;1
BPPC_2_0_2.txt_0.2.bz2;210;6;9100226;6774939;15.7114;7.31956;0.569806;2101
BPPC_7_0_10.txt_0.8.bz2;1030;3;14224;3691;3.59157;1.28279;0.357123;9
BPPC_6_0_5.txt_0.7.bz2;1030;3;5023;1224;3.82395;1.38232;0.364491;2
BPPC_3_0_7.txt_0.4.bz2;210;6;12350581;9725874;12.2488;5.06715;0.536838;3568
BPPC_4_0_8.txt_0.3.bz2;0;0;0;0;0.0;0.0;0.0;0
