instance;weight;size;nodes;n_cut_weight;avg_cc;avg_min_k;avg_ratio;time
BPPC_8_0_3.txt_0.9.bz2;2163;5;1312;0;4.28092;2.18285;0.485654;42
BPPC_8_0_1.txt_0.1.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_1_0_8.txt_0.1.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_4_0_4.txt_0.4.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_5_0_7.txt_0.1.bz2;3110;11;247044982;115331556;4.83462;2.2;0.446264;23530
BPPC_6_0_7.txt_0.9.bz2;1475;4;76;0;4.06632;1.88138;0.460594;1
BPPC_1_0_4.txt_0.5.bz2;530;8;35403;2650;4.63992;2.43678;0.503984;11
BPPC_5_0_5.txt_0.1.bz2;3110;11;237463674;109012937;5.2597;2.62843;0.489811;23746
BPPC_6_0_5.txt_0.5.bz2;3088;9;6134;141;6.45036;4.24334;0.643709;4
BPPC_8_0_9.txt_0.8.bz2;2667;7;8531;0;5.38015;3.24929;0.598867;45
BPPC_2_0_8.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_6_0_8.txt_0.9.bz2;1407;3;98;0;3.86541;1.69563;0.436474;1
BPPC_3_0_4.txt_0.4.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_8_0_5.txt_0.7.bz2;3080;8;50544;2;6.31153;4.13285;0.649008;90
BPPC_5_0_8.txt_0.9.bz2;1267;3;35;0;3.64214;1.41193;0.388037;0
BPPC_5_0_5.txt_0.7.bz2;2078;5;86;0;4.87916;2.57896;0.522865;0
BPPC_7_0_8.txt_0.8.bz2;2382;5;901;0;5.13206;2.97138;0.568306;8
BPPC_5_0_1.txt_0.8.bz2;1760;4;58;0;4.14562;1.91421;0.456749;0
BPPC_5_0_7.txt_0.3.bz2;3100;10;51754;8177;4.65929;2.45073;0.491921;10
BPPC_6_0_7.txt_0.6.bz2;2968;7;869;0;6.4791;4.24936;0.651205;1
BPPC_8_0_3.txt_0.7.bz2;3065;8;51239;8;6.28365;4.10562;0.647279;86
BPPC_4_0_9.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_7_0_10.txt_0.1.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_5_0_9.txt_0.3.bz2;3100;10;45157;7175;5.04972;2.86016;0.533966;9
BPPC_5_0_3.txt_0.8.bz2;1656;4;68;0;3.95374;1.74099;0.432794;0
BPPC_6_0_8.txt_0.5.bz2;3082;9;5335;118;6.68193;4.46325;0.656518;4
BPPC_1_0_7.txt_0.9.bz2;347;4;62;0;4.08635;1.8636;0.460118;1
BPPC_3_0_9.txt_0.5.bz2;560;11;272420576;40490318;4.28445;2.03077;0.458387;103916
BPPC_7_0_2.txt_0.9.bz2;1808;4;284;0;4.29838;2.19515;0.496499;13
BPPC_7_0_4.txt_0.8.bz2;2434;6;1100;0;4.93993;2.78547;0.552434;7
BPPC_4_0_5.txt_0.5.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_6_0_1.txt_0.1.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_5_0_9.txt_0.8.bz2;1811;4;53;0;4.28947;2.04024;0.474431;0
