instance;weight;size;nodes;n_cut_weight;avg_cc;avg_min_k;avg_ratio;time
BPPC_1_0_10.txt_0.4.bz2;210;6;131132;93896;8.33585;1.59898;0.284169;16
BPPC_3_0_1.txt_0.8.bz2;200;5;132326;82743;5.81839;1.18054;0.289475;56
BPPC_7_0_7.txt_0.5.bz2;1030;3;1573230;1405147;16.2483;1.07272;0.128147;107
BPPC_2_0_2.txt_0.1.bz2;210;6;108022797;102254711;62.4579;3.32257;0.137286;9731
BPPC_7_0_6.txt_0.9.bz2;1030;3;2510;794;3.51746;1.13934;0.335585;8
BPPC_2_0_6.txt_0.7.bz2;200;5;58221;38182;4.65927;1.30002;0.321384;13
BPPC_4_0_2.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_4_0_7.txt_0.1.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_2_0_4.txt_0.2.bz2;210;6;21375113;19486427;40.8622;4.12623;0.197218;1741
BPPC_8_0_3.txt_0.4.bz2;1040;4;64298011;61980844;42.8581;1.04823;0.0470205;5342
BPPC_5_0_5.txt_0.9.bz2;1007;2;77;11;3.39739;1.27043;0.371353;0
BPPC_6_0_10.txt_0.6.bz2;1030;3;30149;21944;6.33893;1.08174;0.232344;3
BPPC_7_0_1.txt_0.4.bz2;1040;4;3842930;3565809;21.1903;1.13024;0.0984201;288
BPPC_1_0_7.txt_0.5.bz2;200;5;40682;28170;7.27024;1.41861;0.278907;5
BPPC_8_0_8.txt_0.8.bz2;1030;3;241878;156478;4.36039;1.06166;0.294116;71
BPPC_1_0_4.txt_0.8.bz2;190;4;2021;947;3.86371;1.15177;0.320992;1
BPPC_5_0_4.txt_0.4.bz2;1030;3;18598;14702;6.47563;1.05943;0.208501;1
BPPC_7_0_5.txt_0.8.bz2;1030;3;23957;13117;4.73982;1.09219;0.284948;11
BPPC_1_0_4.txt_0.4.bz2;208;6;104987;81707;11.4148;1.4131;0.205366;9
BPPC_6_0_3.txt_0.2.bz2;1040;4;1159514;1080478;26.2244;1.06232;0.0694768;51
BPPC_2_0_4.txt_0.3.bz2;210;6;6576373;5801276;25.8267;2.12155;0.207439;633
BPPC_8_0_7.txt_0.2.bz2;1040;4;343015625;337480862;100.431;1.13378;0.0190815;28992
BPPC_5_0_4.txt_0.9.bz2;1021;3;48;8;3.48112;1.24247;0.360677;0
BPPC_4_0_3.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_1_0_2.txt_0.2.bz2;210;6;517780;431129;20.5055;2.60384;0.250991;50
BPPC_3_0_4.txt_0.9.bz2;190;4;17855;8892;3.78516;1.09355;0.319935;42
BPPC_7_0_4.txt_0.6.bz2;1030;3;470925;386657;8.19203;1.0348;0.194644;38
BPPC_7_0_6.txt_0.7.bz2;1030;3;119350;84256;4.95376;1.06502;0.269399;16
BPPC_8_0_7.txt_0.4.bz2;1040;4;63380591;60999710;41.5491;1.07295;0.0496316;5031
BPPC_2_0_8.txt_0.9.bz2;180;3;3269;1488;3.90431;1.09005;0.314727;9
BPPC_5_0_4.txt_0.2.bz2;1030;3;91655;81838;13.8389;1.04785;0.105413;4
BPPC_1_0_8.txt_0.8.bz2;189;4;1993;995;3.80124;1.17805;0.326664;2
BPPC_2_0_3.txt_0.3.bz2;220;7;5671234;4879235;26.3129;2.20521;0.217885;584
BPPC_1_0_7.txt_0.1.bz2;210;6;1600561;1428777;36.0836;3.50186;0.197632;152
BPPC_3_0_3.txt_0.9.bz2;190;4;18061;8942;4.25558;1.09388;0.307665;41
BPPC_4_0_1.txt_0.3.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_6_0_9.txt_0.9.bz2;1030;3;323;68;3.46104;1.27214;0.367246;3
BPPC_8_0_6.txt_0.4.bz2;1040;4;61694504;59358429;41.1155;1.0718;0.0506387;5241
BPPC_7_0_5.txt_0.4.bz2;1040;4;3982235;3705346;21.5397;1.13369;0.0951996;257
BPPC_1_0_3.txt_0.9.bz2;180;3;511;167;3.61234;1.18857;0.338466;1
BPPC_5_0_3.txt_0.4.bz2;1030;3;19481;15151;7.07265;1.05896;0.195366;1
BPPC_7_0_1.txt_0.7.bz2;1030;3;124933;88828;5.51278;1.04315;0.252068;24
BPPC_5_0_7.txt_0.9.bz2;1003;2;49;9;3.50553;1.27318;0.36614;0
BPPC_1_0_5.txt_0.8.bz2;183;4;2149;1041;4.21946;1.10833;0.300329;1
BPPC_1_0_6.txt_0.2.bz2;210;6;852471;724187;23.4123;3.67268;0.235299;60
BPPC_7_0_10.txt_0.6.bz2;1030;3;480014;397423;8.34513;1.03744;0.200567;36
BPPC_5_0_1.txt_0.9.bz2;1003;3;74;13;3.38632;1.21135;0.357048;0
BPPC_5_0_7.txt_0.8.bz2;1029;3;256;79;3.62419;1.26846;0.355975;0
BPPC_6_0_9.txt_0.6.bz2;1030;3;33816;24029;5.31686;1.05508;0.248347;3
BPPC_5_0_10.txt_0.6.bz2;1030;3;2797;1614;4.34045;1.15702;0.298213;0
BPPC_3_0_2.txt_0.5.bz2;210;6;10087676;8372108;18.9466;1.94345;0.248558;1405
BPPC_1_0_5.txt_0.3.bz2;210;6;239820;196326;14.1467;1.84517;0.229092;20
BPPC_3_0_2.txt_0.9.bz2;190;4;18480;9101;4.10333;1.0925;0.310918;41
BPPC_2_0_3.txt_0.7.bz2;200;5;56539;37882;5.10642;1.26854;0.305371;14
BPPC_6_0_1.txt_0.5.bz2;1030;3;94831;77718;7.35228;1.04608;0.200416;7
BPPC_7_0_2.txt_0.2.bz2;1040;4;21171609;20468134;49.8023;1.10228;0.0376028;1223
BPPC_5_0_1.txt_0.2.bz2;1030;3;85345;75395;15.5382;1.09178;0.107037;3
BPPC_6_0_1.txt_0.2.bz2;1030;3;1178764;1104998;26.1117;1.03244;0.0647694;53
BPPC_6_0_5.txt_0.6.bz2;1030;3;32146;23193;5.54876;1.05926;0.244654;3
BPPC_4_0_6.txt_0.7.bz2;210;6;7510305;5685278;12.1088;1.43952;0.271844;1348
BPPC_1_0_1.txt_0.1.bz2;210;6;1680536;1510220;30.8666;2.42181;0.172646;100
BPPC_3_0_7.txt_0.5.bz2;210;6;6654532;5607095;20.1252;1.92337;0.256895;1034
BPPC_7_0_5.txt_0.5.bz2;1040;4;1454154;1288017;16.7014;1.09102;0.130084;106
BPPC_7_0_9.txt_0.2.bz2;1040;4;21282930;20629994;47.8478;1.06466;0.0355413;1202
BPPC_2_0_1.txt_0.4.bz2;210;6;2031419;1658400;19.1649;1.78862;0.227564;212
BPPC_8_0_3.txt_0.5.bz2;1030;3;23314299;21950089;26.5836;1.03356;0.0797555;1775
BPPC_8_0_2.txt_0.5.bz2;1030;3;22768833;21410664;25.4815;1.05441;0.0864506;1742
BPPC_6_0_2.txt_0.5.bz2;1030;3;98229;80256;7.78618;1.05683;0.194124;11
BPPC_1_0_6.txt_0.7.bz2;200;5;6107;3301;4.45042;1.21003;0.310104;1
BPPC_8_0_7.txt_0.7.bz2;1030;3;1511731;1218855;7.14152;1.03142;0.229285;164
BPPC_6_0_4.txt_0.7.bz2;1030;3;9773;5840;4.88341;1.09242;0.270555;2
BPPC_4_0_4.txt_0.8.bz2;200;5;1120055;794923;7.32528;1.23524;0.290137;316
BPPC_5_0_2.txt_0.6.bz2;1030;3;3121;1842;4.44335;1.11665;0.286305;0
BPPC_2_0_9.txt_0.5.bz2;200;5;399469;325294;13.3891;1.60279;0.240116;50
BPPC_5_0_3.txt_0.6.bz2;1030;3;2793;1658;4.64495;1.17298;0.288159;0
BPPC_3_0_6.txt_0.8.bz2;200;5;120011;77398;6.188;1.19612;0.283766;53
BPPC_3_0_7.txt_0.8.bz2;200;5;124101;82577;6.54599;1.17145;0.271431;51
BPPC_3_0_5.txt_0.3.bz2;210;6;127558487;117352618;56.4414;2.07619;0.138615;14452
BPPC_8_0_1.txt_0.4.bz2;1040;4;64696571;62335012;40.7994;1.07926;0.0507107;5272
BPPC_5_0_8.txt_0.1.bz2;1030;3;168089;153722;19.522;1.07645;0.0843884;5
BPPC_8_0_10.txt_0.8.bz2;1030;3;240477;155625;4.45527;1.05283;0.289001;65
BPPC_8_0_5.txt_0.4.bz2;1040;4;62678670;60320370;47.7917;1.05474;0.0457221;4996
BPPC_2_0_1.txt_0.2.bz2;210;6;26920347;24843521;40.4483;2.51385;0.151209;2235
BPPC_3_0_1.txt_0.2.bz2;220;7;703777806;655794781;77.2761;3.1577;0.151532;106436
BPPC_8_0_5.txt_0.6.bz2;1030;3;6668483;5985661;18.38;1.02594;0.127588;550
BPPC_4_0_1.txt_0.8.bz2;200;5;1261040;874539;6.75887;1.20241;0.293033;339
BPPC_1_0_4.txt_0.3.bz2;210;6;281750;226621;13.0782;1.71355;0.225277;23
BPPC_6_0_7.txt_0.8.bz2;1030;3;2367;1058;3.68682;1.16312;0.329471;1
BPPC_2_0_8.txt_0.3.bz2;210;6;6324712;5612817;29.2415;2.18785;0.193304;608
BPPC_8_0_9.txt_0.3.bz2;1040;4;158812104;155037184;66.1234;1.12711;0.0315685;12980
BPPC_5_0_7.txt_0.5.bz2;1030;3;7608;5230;6.20188;1.06714;0.224129;0
BPPC_6_0_10.txt_0.7.bz2;1030;3;9579;5860;4.58127;1.1204;0.286378;1
BPPC_1_0_2.txt_0.8.bz2;188;4;2082;1047;3.9788;1.1242;0.310167;1
BPPC_5_0_5.txt_0.6.bz2;1030;3;2897;1723;4.55312;1.13198;0.283444;0
BPPC_5_0_3.txt_0.1.bz2;1030;3;157426;144767;20.3524;1.37653;0.0915864;5
BPPC_3_0_7.txt_0.9.bz2;190;4;17442;8805;3.968;1.10349;0.316402;40
BPPC_1_0_1.txt_0.8.bz2;186;4;1900;893;4.11403;1.12404;0.306403;1
BPPC_2_0_10.txt_0.4.bz2;220;7;1891433;1458948;16.4438;1.83606;0.252029;229
