instance;weight;size;nodes;n_cut_weight;avg_cc;avg_min_k;avg_ratio;time
BPPC_3_0_10.txt_0.7.bz2;530;8;189963;1549;4.89978;2.72921;0.543356;149
BPPC_8_0_5.txt_0.3.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_6_0_5.txt_0.3.bz2;3110;11;18261804;2378795;4.29201;2.02133;0.449494;3400
BPPC_8_0_4.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_1_0_1.txt_0.2.bz2;590;14;593133632;193334402;5.04076;2.50068;0.480492;98398
BPPC_5_0_10.txt_0.5.bz2;2824;7;159;0;6.50391;4.07801;0.614238;0
BPPC_2_0_4.txt_0.1.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_4_0_6.txt_0.8.bz2;520;7;176844;139;4.85705;2.72214;0.546965;301
BPPC_7_0_7.txt_0.4.bz2;3110;11;72607747;6477504;4.47544;2.23979;0.477645;19473
BPPC_5_0_9.txt_0.8.bz2;1811;4;53;0;4.28947;2.04024;0.474431;1
BPPC_3_0_6.txt_0.5.bz2;569;12;239182579;33182985;4.39557;2.12944;0.470078;101701
BPPC_7_0_6.txt_0.5.bz2;3100;10;612159;9827;5.67646;3.46759;0.59271;309
BPPC_5_0_1.txt_0.2.bz2;3110;11;2383381;364648;4.40462;2.10731;0.456403;357
BPPC_1_0_9.txt_0.4.bz2;550;10;571562;61189;4.47733;2.2162;0.47829;141
BPPC_6_0_10.txt_0.2.bz2;3110;11;1616531343;357256121;4.54322;2.10341;0.449185;269345
BPPC_7_0_8.txt_0.7.bz2;3037;7;3169;0;6.18255;3.9997;0.642133;9
BPPC_7_0_4.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_2_0_1.txt_0.7.bz2;520;7;7837;24;5.23719;3.07351;0.575115;12
BPPC_2_0_1.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_5_0_5.txt_0.1.bz2;3110;11;132704602;24251827;5.02753;2.54561;0.481089;20222
BPPC_6_0_3.txt_0.9.bz2;1478;3;75;0;4.07532;1.78217;0.44583;2
BPPC_2_0_9.txt_0.9.bz2;396;4;228;0;4.52412;2.44105;0.525984;12
BPPC_2_0_1.txt_0.6.bz2;530;8;106685;2893;4.8739;2.68375;0.532932;57
BPPC_7_0_7.txt_0.1.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_3_0_5.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_1_0_9.txt_0.7.bz2;502;6;481;1;5.28303;3.04604;0.568711;1
BPPC_8_0_3.txt_0.3.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_7_0_3.txt_0.1.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_7_0_8.txt_0.6.bz2;3090;9;25851;22;6.42687;4.21658;0.650785;26
BPPC_8_0_9.txt_0.6.bz2;3098;10;1310916;3579;5.93806;3.73513;0.619668;1070
BPPC_8_0_9.txt_0.9.bz2;2060;5;1415;0;4.30511;2.19981;0.490709;36
BPPC_4_0_7.txt_0.6.bz2;560;11;363537693;27954025;4.34675;2.13572;0.474666;208303
BPPC_1_0_8.txt_0.1.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_5_0_10.txt_0.9.bz2;1189;3;43;0;3.6191;1.34686;0.37645;0
BPPC_6_0_3.txt_0.2.bz2;3110;11;1919023411;326468180;4.40085;1.9908;0.436407;317375
BPPC_3_0_1.txt_0.7.bz2;530;8;192940;1857;4.88388;2.71421;0.541481;161
