instance,lp2
C15/BPPC_1_0_1.txt_0.1.bz2,7525.048743882243
C15/BPPC_1_0_1.txt_0.2.bz2,6887.3366398015605
C15/BPPC_1_0_1.txt_0.3.bz2,6352.994177113385
C15/BPPC_1_0_1.txt_0.4.bz2,5900.768496682384
C15/BPPC_1_0_1.txt_0.5.bz2,5508.84720579898
C15/BPPC_1_0_1.txt_0.6.bz2,5167.939477609613
C15/BPPC_1_0_1.txt_0.7.bz2,4849.907960372206
C15/BPPC_1_0_1.txt_0.8.bz2,4590.712979834356
C15/BPPC_1_0_1.txt_0.9.bz2,4342.813135817731
C15/BPPC_4_0_1.txt_0.1.bz2,19083.06216950256
C15/BPPC_4_0_1.txt_0.2.bz2,19030.124378334353
C15/BPPC_4_0_1.txt_0.3.bz2,18976.673831323
C15/BPPC_4_0_1.txt_0.4.bz2,18920.07656532998
C15/BPPC_4_0_1.txt_0.5.bz2,18863.76043827277
C15/BPPC_4_0_1.txt_0.6.bz2,18808.621294473654
C15/BPPC_4_0_1.txt_0.7.bz2,18751.384821259468
C15/BPPC_4_0_1.txt_0.8.bz2,18694.238825930726
C15/BPPC_4_0_1.txt_0.9.bz2,18637.824251430306
C15/BPPC_5_0_1.txt_0.1.bz2,15478.813516667502
C15/BPPC_5_0_1.txt_0.2.bz2,15467.724173775998
C15/BPPC_5_0_1.txt_0.3.bz2,15454.08407336899
C15/BPPC_5_0_1.txt_0.4.bz2,14709.854802626096
C15/BPPC_5_0_1.txt_0.5.bz2,13676.019951026225
C15/BPPC_5_0_1.txt_0.6.bz2,12819.492129219609
C15/BPPC_5_0_1.txt_0.7.bz2,12091.894503726347
C15/BPPC_5_0_1.txt_0.8.bz2,11359.218441899337
C15/BPPC_5_0_1.txt_0.9.bz2,10760.656367618709
C15/BPPC_8_0_1.txt_0.1.bz2,15595.415065113046
C15/BPPC_8_0_1.txt_0.2.bz2,15595.369120071706
C15/BPPC_8_0_1.txt_0.3.bz2,15595.299766160324
C15/BPPC_8_0_1.txt_0.4.bz2,15595.244883726453
C15/BPPC_8_0_1.txt_0.5.bz2,15595.162383171944
C15/BPPC_8_0_1.txt_0.6.bz2,15595.08685976589
C15/BPPC_8_0_1.txt_0.7.bz2,15595.005263094448
C15/BPPC_8_0_1.txt_0.8.bz2,15594.92380648428
C15/BPPC_8_0_1.txt_0.9.bz2,15594.83220135903
C1/BPPC_1_0_1.txt_0.1.bz2,213.84490061909415
C1/BPPC_1_0_1.txt_0.2.bz2,213.78536144447403
C1/BPPC_1_0_1.txt_0.3.bz2,213.70391479493213
C1/BPPC_1_0_1.txt_0.4.bz2,213.7480323153308
C1/BPPC_1_0_1.txt_0.5.bz2,213.6779779894995
C1/BPPC_1_0_1.txt_0.6.bz2,213.68931310766664
C1/BPPC_1_0_1.txt_0.7.bz2,213.67204597139897
C1/BPPC_1_0_1.txt_0.8.bz2,213.5875039511018
C1/BPPC_1_0_1.txt_0.9.bz2,213.56679636835284
C1/BPPC_4_0_1.txt_0.1.bz2,225
C1/BPPC_4_0_1.txt_0.2.bz2,224.99999999999997
C1/BPPC_4_0_1.txt_0.3.bz2,225
C1/BPPC_4_0_1.txt_0.4.bz2,225
C1/BPPC_4_0_1.txt_0.5.bz2,225
C1/BPPC_4_0_1.txt_0.6.bz2,225
C1/BPPC_4_0_1.txt_0.7.bz2,225
C1/BPPC_4_0_1.txt_0.8.bz2,225
C1/BPPC_4_0_1.txt_0.9.bz2,224.99999999999997
C1/BPPC_5_0_1.txt_0.1.bz2,1039.7222222222222
C1/BPPC_5_0_1.txt_0.2.bz2,1039.7222222222222
C1/BPPC_5_0_1.txt_0.3.bz2,1039.7152274244572
C1/BPPC_5_0_1.txt_0.4.bz2,1039.7177877977822
C1/BPPC_5_0_1.txt_0.5.bz2,1039.7158470764598
C1/BPPC_5_0_1.txt_0.6.bz2,1039.717707970676
C1/BPPC_5_0_1.txt_0.7.bz2,1039.7119087670533
C1/BPPC_5_0_1.txt_0.8.bz2,1039.7123609252897
C1/BPPC_5_0_1.txt_0.9.bz2,1039.7067219173682
C1/BPPC_8_0_1.txt_0.1.bz2,1040
C1/BPPC_8_0_1.txt_0.2.bz2,1040
C1/BPPC_8_0_1.txt_0.3.bz2,1040
C1/BPPC_8_0_1.txt_0.4.bz2,1040
C1/BPPC_8_0_1.txt_0.5.bz2,1040
C1/BPPC_8_0_1.txt_0.6.bz2,1040.0000000000002
C1/BPPC_8_0_1.txt_0.7.bz2,1040.0000000000002
C1/BPPC_8_0_1.txt_0.8.bz2,1040
C1/BPPC_8_0_1.txt_0.9.bz2,1040
R15/BPPC_1_0_1.txt_0.1.bz2,5094.597955250865
R15/BPPC_1_0_1.txt_0.2.bz2,5053.355661396745
