class,mult,type,subtype,density,ilp2,lp2,lp1
C,1,1,10,0.1,220,223.2260228034876,222.8571428571429
C,1,1,10,0.2,220,223.2848194316084,222.00000000000003
C,1,1,1,0.1,210,213.83141762452107,213.70370370370372
C,1,1,10,0.3,210,223.2475073531018,220.19230769230765
C,1,1,10,0.4,210,223.23837142793755,220.19230769230768
C,1,1,1,0.2,210,213.50016458263065,210.655737704918
C,1,1,1,0.3,200,213.37086448856,208.83333333333331
C,1,1,1,0.4,200,213.60307980954215,208.83333333333337
C,1,1,1,0.5,200,213.5015145064088,208.83333333333331
C,1,1,10,0.7,200,223.2157305421608,220.19230769230768
C,1,1,1,0.6,199,213.5864986608623,208.83333333333331
C,1,1,10,0.5,200,223.20385840014887,220.19230769230765
C,1,1,2,0.1,210,218.80256857577663,216.66666666666663
C,1,1,10,0.6,200,223.24504428293977,220.19230769230765
C,1,1,2,0.2,210,218.6868167264205,214.82758620689657
C,1,1,1,0.7,200,213.581264301498,208.8333333333333
C,1,1,2,0.3,210,218.92640317592893,214.33333333333337
C,1,1,10,0.9,180,223.23461364185596,220.19230769230768
C,1,1,2,0.4,200,218.8230229312707,213.1034482758621
C,1,1,10,0.8,189,223.2145718521484,220.19230769230768
C,1,1,3,0.1,210,218.1965648854962,217.6
C,1,1,2,0.5,200,218.90218225957375,213.10344827586204
C,1,1,3,0.2,210,217.7900310566604,214.99999999999997
C,1,1,2,0.6,200,218.8095132812848,213.1034482758621
C,1,1,3,0.3,210,218.09800136547855,213.44827586206895
C,1,1,3,0.4,210,218.09662046086555,213.2142857142857
C,1,1,1,0.9,180,213.5344953318221,208.83333333333337
C,1,1,1,0.8,186,213.52739656462109,208.83333333333337
C,1,1,3,0.5,200,218.08882423126423,213.21428571428572
C,1,1,4,0.1,210,215.13833992094868,215.00000000000003
C,1,1,2,0.9,180,218.82398132925357,213.1034482758621
C,1,1,4,0.2,210,214.9126990884961,212.18181818181824
C,1,1,3,0.7,199,218.00293874959985,213.2142857142857
C,1,1,2,0.7,190,218.9240506618512,213.1034482758621
C,1,1,4,0.3,210,214.9402478223099,212.5
C,1,1,2,0.8,188,218.8329534357437,213.10344827586204
C,1,1,4,0.4,208,215.11671967855543,211.4864864864865
C,1,1,3,0.6,200,217.95433901528892,213.2142857142857
C,1,1,5,0.1,220,222.8571428571429,222.5
C,1,1,5,0.2,210,222.73418138535,218.33333333333337
C,1,1,3,0.9,180,218.0803773017373,213.21428571428572
C,1,1,3,0.8,186,218.05946176619636,213.2142857142857
C,1,1,4,0.5,200,215.04514476678352,211.07142857142856
C,1,1,5,0.3,210,222.71495287070513,217.1428571428571
C,1,1,4,0.6,200,214.96216121003425,211.07142857142856
C,1,1,5,0.4,210,222.8165800390531,217.67857142857144
C,1,1,4,0.7,190,215.03771321073896,211.07142857142856
C,1,1,6,0.1,210,219.66660831649136,218.0769230769231
C,1,1,5,0.5,200,222.78114825061488,217.1428571428571
C,1,1,4,0.8,190,215.03179699192688,211.07142857142856
C,1,1,4,0.9,179,214.9668736803258,211.07142857142856
C,1,1,6,0.2,210,219.60055348804883,216.92307692307693
C,1,1,6,0.3,210,219.7811320101109,215.92592592592592
C,1,1,6,0.4,209,219.6925340045358,214.12844036697248
C,1,1,5,0.6,200,222.79796086532988,217.1428571428571
C,1,1,6,0.5,200,219.71243240992553,214.07407407407408
C,1,1,5,0.7,190,222.77602314744672,217.14285714285717
C,1,1,7,0.1,210,217.1659389231662,215.92592592592592
C,1,1,6,0.6,200,219.70681290178717,214.07407407407408
C,1,1,5,0.9,180,222.78297920486116,217.1428571428571
C,1,1,7,0.2,210,217.239762783506,213.33333333333337
C,1,1,7,0.3,210,217.41495594305488,214.48275862068965
C,1,1,7,0.4,210,217.25422778288296,211.7857142857143
C,1,1,5,0.8,183,222.7903350184919,217.1428571428571
C,1,1,6,0.7,200,219.6674713537431,214.07407407407408
C,1,1,8,0.1,210,213.9090891155523,212.962962962963
C,1,1,7,0.5,200,217.32141428993364,211.97674418604657
C,1,1,8,0.2,206,214.09961883361143,212.33766233766232
C,1,1,6,0.9,180,219.67066408416397,214.0740740740741
C,1,1,6,0.8,195,219.67518205939052,214.07407407407408
C,1,1,8,0.3,200,213.9002458539785,207.64705882352945
C,1,1,7,0.7,198,217.23103205462613,211.66666666666669
C,1,1,8,0.4,200,214.06840553016227,209.1428571428571
C,1,1,7,0.8,189,217.22970483966375,211.66666666666663
C,1,1,8,0.5,200,213.8832450767066,207.64705882352945
C,1,1,9,0.1,210,217.38939673577224,211.72413793103448
C,1,1,9,0.2,210,218.1251938976096,215.2941176470588
C,1,1,7,0.9,180,217.19929791728927,211.66666666666663
C,1,1,8,0.6,190,213.92406254222135,207.6470588235294
C,1,1,7,0.6,190,217.10220765727024,211.66666666666663
C,1,1,9,0.3,200,217.8291324689044,211.6666666666667
C,1,1,9,0.4,200,217.71461508248785,211.55172413793105
C,1,1,9,0.5,200,217.76816941886528,211.55172413793105
C,1,2,10,0.1,220,221.27160636603827,220.43478260869568
C,1,1,8,0.7,190,213.93359131869272,207.64705882352945
C,1,1,8,0.8,189,213.9272518818686,207.64705882352945
C,1,1,8,0.9,180,213.9618148178856,207.64705882352945
C,1,1,9,0.6,196,217.84964493219843,211.55172413793105
C,1,2,10,0.2,210,221.22024596472545,219.56521739130432
C,1,2,10,0.4,220,221.31939047212427,220
C,1,2,10,0.3,210,221.25453145806367,218.3333333333333
C,1,1,9,0.7,190,217.81223248499035,211.55172413793105
C,1,2,1,0.1,220,221.40002208591187,220
C,1,1,9,0.8,188,217.90082794643007,211.55172413793105
C,1,2,1,0.2,210,221.61145467179284,219.58333333333337
C,1,2,1,0.3,210,221.595296672865,218.125
C,1,1,9,0.9,186,217.87947162376972,211.55172413793105
C,1,2,1,0.4,210,221.55988018027563,218.125
C,1,2,10,0.5,210,221.28096708381184,218.33333333333331
C,1,2,1,0.5,210,221.502335057753,218.125
C,1,2,10,0.6,207,221.293491337312,218.33333333333331
C,1,2,2,0.1,210,220.8056705302399,219.58333333333331
C,1,2,2,0.2,210,220.72423205452117,218
C,1,2,2,0.3,210,220.7174003580596,216.40000000000003
C,1,2,2,0.4,210,220.68590115180763,216.40000000000003
C,1,2,2,0.5,210,220.71083925336956,216.40000000000003
C,1,2,10,0.7,200,221.2862104682912,218.33333333333331
C,1,2,1,0.6,200,221.58667152414375,218.12500000000003
C,1,2,10,0.9,182,221.2812210752071,218.3333333333333
C,1,2,1,0.7,200,221.61606383121023,218.12499999999997
C,1,2,3,0.1,220,224.2857142857143,224.2857142857143
C,1,2,3,0.2,220,224.2301901694371,222.83783783783784
C,1,2,3,0.3,220,224.23752127872183,222.17391304347825
C,1,2,3,0.4,220,224.2272730209212,222.17391304347828
C,1,2,2,0.6,209,220.71227028287396,216.4000000000001
C,1,2,3,0.5,210,224.23485963868643,222.17391304347828
C,1,2,2,0.7,200,220.7257270287031,216.4
C,1,2,1,0.9,190,221.61385601952705,218.125
C,1,2,2,0.8,195,220.74446657646365,216.40000000000003
