instance,profit,LBi,UBi,h1,h2,nodes,ub_l2_cuts,ub_mt_cuts,ub_p_cuts,valid
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_5.txt_0.5.bz2,200,200,210,200,162,61,202,0,1,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_5.txt_0.6.bz2,200,200,210,200,188,4,4,0,1,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_5.txt_0.7.bz2,190,184,200,184,114,92,606,0,8,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_5.txt_0.8.bz2,183,183,200,183,127,157,412,6,32,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_5.txt_0.9.bz2,180,180,190,180,70,33,71,0,8,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_6.txt_0.1.bz2,210,210,0,210,189,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_6.txt_0.2.bz2,210,209,210,209,192,7,86,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_6.txt_0.3.bz2,210,210,0,210,194,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_6.txt_0.4.bz2,209,209,210,209,170,7,7,1,1,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_6.txt_0.5.bz2,200,199,210,199,158,30,142,5,4,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_6.txt_0.6.bz2,200,200,210,200,177,2,0,0,2,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_6.txt_0.7.bz2,200,200,0,200,103,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_6.txt_0.8.bz2,195,195,200,195,156,2,0,0,3,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_6.txt_0.9.bz2,180,178,190,178,163,49,76,0,21,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_7.txt_0.1.bz2,210,210,0,210,194,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_7.txt_0.2.bz2,210,210,0,210,201,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_7.txt_0.3.bz2,210,210,0,210,197,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_7.txt_0.4.bz2,210,205,210,205,181,11,11,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_7.txt_0.5.bz2,200,200,210,200,180,2,2,0,1,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_7.txt_0.6.bz2,190,190,200,190,153,189,1098,0,7,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_7.txt_0.7.bz2,198,190,200,190,147,57,97,30,46,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_7.txt_0.8.bz2,189,189,200,189,97,58,52,7,28,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_8.txt_0.1.bz2,210,210,0,210,202,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_7.txt_0.9.bz2,180,180,190,180,63,25,47,0,11,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_8.txt_0.2.bz2,206,206,210,206,201,3,2,0,1,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_8.txt_0.3.bz2,200,200,0,200,176,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_8.txt_0.4.bz2,200,200,0,200,176,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_8.txt_0.5.bz2,200,200,0,200,155,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_8.txt_0.6.bz2,190,190,200,190,148,44,138,0,2,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_8.txt_0.7.bz2,190,190,200,190,181,29,90,0,9,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_8.txt_0.8.bz2,189,189,199,189,129,10,7,1,3,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_8.txt_0.9.bz2,180,180,190,180,64,7,8,0,9,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_9.txt_0.1.bz2,210,210,0,210,205,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_9.txt_0.2.bz2,210,210,0,210,192,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_9.txt_0.3.bz2,200,200,210,200,168,18,63,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_9.txt_0.4.bz2,200,200,210,200,171,3,0,0,2,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_9.txt_0.5.bz2,200,200,208,200,188,2,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_9.txt_0.6.bz2,196,195,200,195,147,77,126,5,19,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_9.txt_0.7.bz2,190,190,200,190,165,13,20,0,1,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_9.txt_0.8.bz2,188,188,200,188,130,42,76,5,17,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_9.txt_0.9.bz2,186,186,190,186,89,1,0,0,2,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_1.txt_0.3.bz2,210,210,0,210,194,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_1.txt_0.1.bz2,220,220,0,220,220,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_1.txt_0.4.bz2,210,210,0,210,196,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_1.txt_0.5.bz2,210,210,0,210,205,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_1.txt_0.2.bz2,210,210,0,210,187,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_1.txt_0.7.bz2,200,200,210,200,154,40,91,2,12,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_1.txt_0.6.bz2,200,200,210,200,185,136,455,0,23,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_1.txt_0.8.bz2,190,190,200,190,132,159,619,0,33,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_10.txt_0.1.bz2,220,220,0,220,220,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_10.txt_0.2.bz2,210,210,0,210,196,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_10.txt_0.3.bz2,210,210,0,210,190,0,1,0,0,1
