class,mult,type,subtype,density,ilp2,lp2,lp1
C,3,6,10,0.5,3088,3119.624151720772,3118.1679389312976
C,3,6,1,0.5,3084,3119.0325560333777,3117.843511450382
C,3,4,3,0.3,620,665.2215589865282,657.0833333333333
C,3,6,9,0.4,3100,3118.7187484275896,3116.8539325842694
C,3,1,1,0.5,539,611.6421038345532,594.7435897435897
C,3,4,8,0.4,600,671.7720447500839,665.4347826086955
C,3,1,4,0.6,520,618.45806701103,600.125
C,3,7,1,0.1,3110,3119.904506318747,3119.7222222222226
C,3,1,6,0.5,530,622.9355303484392,602.948717948718
C,3,3,3,0.8,509,662.7916181959624,647.7777777777778
C,3,7,7,0.1,3110,3119.861107125321,3119.4488188976375
C,3,1,3,0.9,337,624.4210087346255,607.027027027027
C,3,5,6,0.8,1651,3115.9216933307525,3112.712765957447
C,3,4,10,0.2,650,668.0359217895488,662.1739130434783
C,3,5,7,0.5,2839,3115.1144220163505,3112.2887323943664
C,3,4,6,0.6,559,669.8873682162366,662.1739130434783
C,3,8,5,0.9,2163,3119.794668075264,3119.407114624506
C,3,8,4,0.9,1917,3119.8340254992436,3119.446640316206
C,3,6,6,0.9,1642,3118.704861068082,3117.6153846153848
C,3,4,6,0.1,650,669.8755973124611,662.1739130434783
C,3,1,6,0.3,570,623.7040032205637,602.9487179487179
C,3,1,6,0.4,550,622.6938462464824,602.9487179487179
C,3,3,8,0.5,568,660.212029735058,648.4000000000003
C,3,7,8,0.1,3110,3119.593753587774,3119.446640316205
C,3,2,8,0.1,620,643.1190537804348,628.235294117647
C,3,3,8,0.9,443,660.2578808814883,648.4000000000001
C,3,4,1,0.1,660,670.8352294406656,663.1914893617022
C,3,6,2,0.8,2048,3119.211281482172,3117.767175572519
C,3,8,8,0.1,3110,3120,3119.8804780876494
C,3,5,4,0.4,3072,3117.1608248747907,3114.963898916968
C,3,3,2,0.2,629,664.699279734625,650.5769230769229
C,3,2,1,0.7,520,643.868547689878,625.3125
C,3,4,4,0.6,556,667.9017796165928,659.1304347826086
C,3,1,10,0.6,518,638.9890396853451,613.8157894736844
C,3,7,6,0.4,3110,3119.542208919068,3119.078431372549
C,3,3,5,0.9,455,654.7260812256683,641.2962962962964
C,3,2,1,0.1,620,643.6656248778854,626.875
C,3,3,6,0.8,516,657.9540092833274,643.6538461538462
C,3,1,3,0.4,558,625.1192621272327,607.027027027027
C,3,4,5,0.2,640,667.5614796740789,659.782608695652
C,3,8,4,0.7,3070,3119.8329730280097,3119.446640316205
C,3,1,2,0.6,519,618.6094574584316,597.4418604651163
C,3,1,1,0.8,423,611.9259696571396,594.7435897435898
C,3,6,10,0.2,3110,3119.6102724334332,3118.1679389312976
C,3,7,9,0.9,1740,3119.767244877129,3119.1372549019616
C,3,8,8,0.6,3099,3120,3119.820717131474
C,3,8,8,0.4,3110,3120,3119.8207171314743
C,3,1,5,0.7,504,625.8392747576744,601.5476190476189
C,3,5,10,0.1,3110,3116.4443653877975,3115.942028985507
C,3,8,1,0.4,3110,3120,3119.8207171314743
C,3,1,3,0.2,600,624.4010623640258,607.7952755905511
C,3,7,3,0.6,3081,3119.4857331093895,3118.76953125
C,3,8,7,0.8,2545,3119.9518315160285,3119.68253968254
C,3,6,7,0.1,3110,3118.6942289865065,3117.954110898662
C,3,4,7,0.5,578,672.6829724028378,666.818181818182
C,3,2,5,0.7,524,650.2579661023435,626.3636363636364
C,3,3,5,0.8,509,654.7290423709305,641.2962962962962
C,3,3,4,0.8,509,659.8375199066204,647.222222222222
C,3,5,10,0.4,3083,3116.230316799795,3112.789115646259
C,3,5,10,0.5,2824,3116.224676121655,3112.7891156462583
C,3,6,9,0.7,2334,3118.7057929872544,3116.8539325842703
C,3,1,9,0.1,590,613.0831097671556,597.8823529411765
C,3,5,1,0.4,3090,3115.915797452903,3113.356890459365
C,3,2,6,0.8,497,640.6474146492528,624.9999999999999
C,3,5,1,0.6,2257,3115.7601515851993,3113.356890459364
C,3,1,7,0.1,590,621.1775071617416,600.855263157895
C,3,8,10,0.4,3110,3119.9108087842164,3119.702380952381
C,3,3,3,0.9,433,662.764781839329,647.7777777777776
C,3,3,7,0.5,560,653.6510153837356,636.6071428571429
C,3,1,2,0.9,301,619.0983772037506,597.4418604651161
C,3,3,10,0.4,587,656.4714537692385,644.6153846153846
C,3,3,1,0.1,640,656.8096669711214,646.2962962962962
C,3,4,10,0.9,497,668.0171412509108,662.1739130434781
C,3,3,5,0.5,560,654.7365297411307,641.2962962962962
C,3,1,9,0.3,560,614.606318153653,595.1162790697673
C,3,8,5,0.8,2602,3119.7951533945484,3119.4071146245064
C,3,1,3,0.3,570,624.2180022206572,607.027027027027
C,3,3,1,0.6,547,656.7446299678965,643.8461538461538
C,3,7,5,0.2,3110,3119.9419285683753,3119.603174603175
C,3,6,3,0.4,3100,3119.279654993383,3118.1800766283523
C,3,6,6,0.3,3110,3118.742844136217,3117.615384615385
C,3,3,1,0.2,630,656.824817446966,643.8461538461538
C,3,2,9,0.1,610,629.8147220153919,615.2631578947369
C,3,7,7,0.2,3110,3119.871470782378,3119.4291338582675
C,3,6,10,0.9,1600,3119.6281719367785,3118.1679389312976
C,3,8,8,0.7,3079,3120,3119.8207171314743
C,3,1,10,0.9,370,638.4280586405276,613.8157894736843
C,3,8,2,0.7,3067,3119.7168877178824,3119.464285714286
C,3,2,6,0.4,570,640.6923593424892,625
C,3,4,3,0.8,520,665.2252885633679,657.0833333333331
C,3,2,7,0.5,550,647.6679901065702,627.65625
C,3,2,1,0.6,530,643.8652336358119,625.3125
C,3,4,4,0.3,620,667.8800175279227,659.1304347826086
C,3,3,5,0.1,640,654.9017468955974,644.1071428571429
C,3,3,2,0.3,610,664.8903728691758,650.576923076923
C,3,1,1,0.1,600,613.9110166535723,605.3571428571429
C,3,3,5,0.6,542,654.691748251447,641.2962962962962
C,3,7,5,0.1,3110,3119.9451368513796,3119.8015873015875
C,3,1,3,0.5,537,624.12078099709845,607.027027027027
C,3,2,3,0.7,520,652.493890796245,628.59375
C,3,5,1,0.3,3100,3115.71388406628,3113.3568904593644
C,3,1,1,0.3,570,611.3940158764995,594.7435897435896
C,3,6,6,0.2,3110,3118.6741595057333,3117.666666666667
C,3,2,9,0.3,579,629.4559074432708,610.7142857142858
C,3,4,9,0.6,558,671.7487098566593,665.0000000000001
C,3,3,4,0.3,600,659.831725565315,647.2222222222223
C,3,6,5,0.4,3100,3119.0987480616323,3117.6235741444875
C,3,7,4,0.1,3110,3119.689658735655,3119.3307086614177
C,3,2,3,0.5,550,652.6031662074138,628.59375
C,3,2,8,0.3,589,642.4370298087742,624.1935483870968
C,3,8,9,0.2,3110,3119.991122606821,3119.761904761905
C,3,4,10,0.8,520,668.0204234720181,662.1739130434784
C,3,7,2,0.3,3110,3119.862325408186,3119.330708661417
C,3,1,4,0.8,496,618.5930274480935,600.125
C,3,7,1,0.5,3100,3119.902769071735,3119.5454545454545
C,3,8,2,0.5,3110,3119.7177415096835,3119.4642857142853
C,3,8,8,0.9,2167,3120,3119.8207171314743
C,3,1,1,0.6,520,612.3030015058787,594.7435897435897
C,3,4,3,0.5,574,665.2721902817449,657.0833333333333
C,3,3,4,0.2,620,659.8536893921797,647.2222222222222
C,3,8,7,0.6,3093,3119.9501641972106,3119.68253968254
C,3,4,1,0.5,571,670.8229839159245,661.7391304347825
C,3,1,10,0.8,430,638.2331404635319,613.8157894736844
C,3,7,3,0.1,3110,3119.4950471738307,3119.1015625
C,3,8,10,0.7,3069,3119.911764483863,3119.7023809523807
C,3,8,4,0.6,3100,3119.833424509135,3119.446640316206
C,3,8,7,0.5,3110,3119.9492141300075,3119.68253968254
C,3,6,5,0.7,2640,3119.127303986627,3117.623574144487
C,3,4,4,0.1,650,667.9289805133345,659.5833333333334
C,3,6,6,0.5,3089,3118.7378121277907,3117.6153846153843
C,3,8,1,0.6,3094,3120.0000000000005,3119.820717131473
C,3,6,7,0.5,3085,3118.6394282979936,3117.3574144486697
C,3,8,6,0.6,3100,3120.0000000000005,3119.7222222222226
C,3,7,10,0.3,3110,3119.4657122817757,3118.5797665369655
C,3,3,4,0.9,453,659.8156609656662,647.2222222222223
C,3,7,9,0.4,3110,3119.7686053148645,3119.137254901961
C,3,4,1,0.9,494,670.8123252532547,661.7391304347826
C,3,5,3,0.4,3088,3117.606386444786,3115.4693140794225
C,3,1,9,0.9,340,615.3928063688279,595.1162790697673
C,3,7,5,0.4,3110,3119.940836738963,3119.5634920634925
C,3,5,9,0.5,3015,3118.0566968229,3114.434628975265
C,3,6,2,0.1,3110,3119.2409839052316,3118.725868725869
C,3,1,4,0.5,530,618.3630238008212,600.125
C,3,5,5,0.3,3100,3118.000694705559,3114.1373239436616
C,3,4,10,0.5,573,668.0260461560074,662.1739130434781
C,3,4,5,0.3,620,667.5644073263572,659.7826086956521
C,3,3,2,0.7,530,664.8770696513196,650.576923076923
C,3,4,7,0.1,660,672.7242223775728,668.0816326530611
C,3,6,9,0.9,1569,3118.714166666541,3116.8539325842703
C,3,4,1,0.7,537,670.8171950479917,661.7391304347825
C,3,2,3,0.6,533,652.4173233203676,628.59375
C,3,8,6,0.9,2153,3119.9999999999995,3119.7222222222226
C,3,7,7,0.3,3110,3119.8622280250015,3119.4094488188975
C,3,3,9,0.3,600,661.9454589925423,647.6923076923077
C,3,2,2,0.8,481,640.1782646158999,626
C,3,1,1,0.2,590,612.3583061978652,595.9756097560978
C,3,5,5,0.1,3110,3118.441723037743,3117.7067669172934
C,3,5,2,0.6,2432,3116.6172058925586,3113.737024221453
C,3,3,3,0.1,640,662.7697882305146,648.9285714285714
C,3,5,8,0.1,3110,3116.022658185867,3115.2189781021902
C,3,8,3,0.4,3110,3119.757554601421,3119.328063241107
C,3,1,6,0.7,500,623.1803241327584,602.948717948718
C,3,8,9,0.7,3066,3119.9895945893527,3119.702380952382
C,3,2,9,0.7,519,629.3462839208416,610.7142857142856
C,3,7,2,0.8,2286,3119.8660178419873,3119.330708661417
C,3,7,8,0.6,3090,3119.5784694745653,3119.035433070866
