instance;weight;size;time
BPPC_8_0_4.txt_0.5.bz2.dimacs.c;5207;12;2634
BPPC_1_0_9.txt_0.7.bz2.dimacs.c;541;6;0
BPPC_3_0_4.txt_0.8.bz2.dimacs.c;581;6;6
BPPC_2_0_10.txt_0.5.bz2.dimacs.c;913;11;59
BPPC_2_0_6.txt_0.9.bz2.dimacs.c;403;4;0
BPPC_2_0_8.txt_0.4.bz2.dimacs.c;1259;14;278
BPPC_1_0_3.txt_0.6.bz2.dimacs.c;563;7;0
BPPC_4_0_7.txt_0.9.bz2.dimacs.c;520;5;7
BPPC_3_0_6.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_6_0_3.txt_0.1.bz2.dimacs.c;11409;32;941
BPPC_8_0_3.txt_0.9.bz2.dimacs.c;2163;5;1
BPPC_8_0_7.txt_0.9.bz2.dimacs.c;2070;5;1
BPPC_6_0_6.txt_0.3.bz2.dimacs.c;5563;14;16
BPPC_8_0_6.txt_0.7.bz2.dimacs.c;3323;8;36
BPPC_5_0_1.txt_0.9.bz2.dimacs.c;1267;3;0
BPPC_2_0_2.txt_0.4.bz2.dimacs.c;1208;14;327
BPPC_2_0_9.txt_0.7.bz2.dimacs.c;608;7;2
BPPC_7_0_1.txt_0.9.bz2.dimacs.c;1907;4;0
BPPC_8_0_10.txt_0.8.bz2.dimacs.c;2567;6;6
BPPC_6_0_7.txt_0.1.bz2.dimacs.c;12422;32;203
BPPC_5_0_9.txt_0.6.bz2.dimacs.c;2163;6;0
BPPC_4_0_4.txt_0.5.bz2.dimacs.c;1271;13;306552
BPPC_4_0_6.txt_0.2.bz2.dimacs.c;0;0;0
BPPC_2_0_3.txt_0.7.bz2.dimacs.c;692;7;2
BPPC_2_0_4.txt_0.3.bz2.dimacs.c;1562;18;3242
BPPC_1_0_6.txt_0.5.bz2.dimacs.c;774;8;1
BPPC_1_0_8.txt_0.9.bz2.dimacs.c;284;3;0
BPPC_5_0_10.txt_0.7.bz2.dimacs.c;2018;6;0
BPPC_4_0_5.txt_0.5.bz2.dimacs.c;1268;14;294278
BPPC_3_0_3.txt_0.6.bz2.dimacs.c;943;10;233
BPPC_7_0_10.txt_0.2.bz2.dimacs.c;9695;25;161805
BPPC_6_0_5.txt_0.2.bz2.dimacs.c;7626;19;117
BPPC_5_0_3.txt_0.8.bz2.dimacs.c;1656;4;0
BPPC_8_0_10.txt_0.6.bz2.dimacs.c;4026;10;285
BPPC_8_0_1.txt_0.7.bz2.dimacs.c;3365;9;32
BPPC_2_0_1.txt_0.5.bz2.dimacs.c;933;11;55
BPPC_8_0_1.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_1_0_7.txt_0.9.bz2.dimacs.c;347;4;0
BPPC_1_0_9.txt_0.3.bz2.dimacs.c;1212;14;13
BPPC_7_0_2.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_5_0_8.txt_0.4.bz2.dimacs.c;3238;9;0
BPPC_8_0_6.txt_0.3.bz2.dimacs.c;0;0;0
BPPC_4_0_1.txt_0.8.bz2.dimacs.c;659;7;62
BPPC_1_0_9.txt_0.9.bz2.dimacs.c;340;4;0
BPPC_8_0_7.txt_0.2.bz2.dimacs.c;0;0;0
BPPC_5_0_4.txt_0.5.bz2.dimacs.c;2711;7;0
BPPC_5_0_1.txt_0.4.bz2.dimacs.c;3675;9;0
BPPC_1_0_8.txt_0.5.bz2.dimacs.c;743;9;1
BPPC_7_0_5.txt_0.6.bz2.dimacs.c;3465;8;10
BPPC_1_0_8.txt_0.6.bz2.dimacs.c;619;7;0
BPPC_1_0_10.txt_0.1.bz2.dimacs.c;2411;32;781
BPPC_7_0_4.txt_0.5.bz2.dimacs.c;4550;10;49
BPPC_4_0_6.txt_0.8.bz2.dimacs.c;678;7;58
BPPC_2_0_10.txt_0.4.bz2.dimacs.c;1191;14;373
BPPC_7_0_9.txt_0.6.bz2.dimacs.c;3600;9;9
BPPC_1_0_7.txt_0.3.bz2.dimacs.c;1228;14;16
BPPC_2_0_5.txt_0.6.bz2.dimacs.c;789;9;8
BPPC_8_0_5.txt_0.2.bz2.dimacs.c;0;0;0
BPPC_2_0_7.txt_0.7.bz2.dimacs.c;670;7;2
BPPC_1_0_5.txt_0.9.bz2.dimacs.c;334;4;0
BPPC_1_0_5.txt_0.6.bz2.dimacs.c;633;7;0
BPPC_6_0_9.txt_0.9.bz2.dimacs.c;1569;4;0
BPPC_1_0_3.txt_0.8.bz2.dimacs.c;412;4;0
BPPC_6_0_4.txt_0.8.bz2.dimacs.c;1862;5;0
BPPC_4_0_10.txt_0.8.bz2.dimacs.c;665;7;62
BPPC_3_0_10.txt_0.2.bz2.dimacs.c;0;0;0
BPPC_1_0_5.txt_0.2.bz2.dimacs.c;1684;20;75
BPPC_4_0_4.txt_0.9.bz2.dimacs.c;500;5;8
BPPC_2_0_3.txt_0.4.bz2.dimacs.c;1232;14;276
BPPC_4_0_6.txt_0.3.bz2.dimacs.c;0;0;0
BPPC_2_0_7.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_2_0_2.txt_0.7.bz2.dimacs.c;693;8;2
BPPC_4_0_9.txt_0.3.bz2.dimacs.c;0;0;0
BPPC_3_0_4.txt_0.7.bz2.dimacs.c;768;8;30
BPPC_5_0_10.txt_0.5.bz2.dimacs.c;3088;8;0
BPPC_4_0_3.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_8_0_7.txt_0.7.bz2.dimacs.c;3420;8;31
BPPC_8_0_2.txt_0.8.bz2.dimacs.c;2658;6;6
BPPC_8_0_8.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_1_0_3.txt_0.7.bz2.dimacs.c;541;6;0
BPPC_5_0_2.txt_0.7.bz2.dimacs.c;1956;5;0
BPPC_2_0_4.txt_0.5.bz2.dimacs.c;998;12;42
BPPC_2_0_8.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_6_0_1.txt_0.5.bz2.dimacs.c;3837;9;1
BPPC_4_0_1.txt_0.4.bz2.dimacs.c;0;0;0
BPPC_1_0_4.txt_0.8.bz2.dimacs.c;496;5;0
BPPC_2_0_9.txt_0.9.bz2.dimacs.c;396;4;0
BPPC_6_0_8.txt_0.2.bz2.dimacs.c;7903;20;91
BPPC_5_0_1.txt_0.6.bz2.dimacs.c;2257;6;0
BPPC_3_0_7.txt_0.5.bz2.dimacs.c;1139;12;2971
BPPC_7_0_6.txt_0.4.bz2.dimacs.c;5337;13;334
BPPC_1_0_7.txt_0.1.bz2.dimacs.c;2540;31;605
BPPC_6_0_3.txt_0.4.bz2.dimacs.c;4233;11;4
BPPC_1_0_3.txt_0.4.bz2.dimacs.c;941;10;4
BPPC_8_0_2.txt_0.3.bz2.dimacs.c;0;0;0
BPPC_2_0_5.txt_0.9.bz2.dimacs.c;388;4;0
BPPC_3_0_2.txt_0.5.bz2.dimacs.c;1092;12;3008
BPPC_7_0_5.txt_0.7.bz2.dimacs.c;3306;8;2
BPPC_7_0_10.txt_0.8.bz2.dimacs.c;2328;6;0
BPPC_2_0_2.txt_0.5.bz2.dimacs.c;921;10;53
BPPC_6_0_4.txt_0.3.bz2.dimacs.c;5708;14;12
BPPC_2_0_6.txt_0.5.bz2.dimacs.c;991;11;50
BPPC_3_0_2.txt_0.4.bz2.dimacs.c;1404;15;49995
BPPC_6_0_1.txt_0.3.bz2.dimacs.c;5612;15;13
BPPC_5_0_9.txt_0.5.bz2.dimacs.c;3015;8;0
BPPC_4_0_1.txt_0.7.bz2.dimacs.c;796;9;789
BPPC_1_0_3.txt_0.5.bz2.dimacs.c;825;10;1
BPPC_4_0_2.txt_0.6.bz2.dimacs.c;1013;11;12027
BPPC_6_0_4.txt_0.1.bz2.dimacs.c;11738;31;293
BPPC_1_0_10.txt_0.3.bz2.dimacs.c;1129;14;19
BPPC_1_0_9.txt_0.2.bz2.dimacs.c;1830;21;46
BPPC_4_0_4.txt_0.8.bz2.dimacs.c;662;7;65
BPPC_2_0_5.txt_0.4.bz2.dimacs.c;1201;13;342
BPPC_2_0_1.txt_0.2.bz2.dimacs.c;2119;24;152926
BPPC_5_0_5.txt_0.6.bz2.dimacs.c;2649;7;0
BPPC_2_0_9.txt_0.2.bz2.dimacs.c;2170;27;119094
BPPC_1_0_4.txt_0.5.bz2.dimacs.c;778;10;1
BPPC_8_0_10.txt_0.4.bz2.dimacs.c;6336;16;54697
BPPC_3_0_2.txt_0.2.bz2.dimacs.c;0;0;0
BPPC_7_0_7.txt_0.4.bz2.dimacs.c;5474;13;321
BPPC_3_0_4.txt_0.9.bz2.dimacs.c;453;5;1
BPPC_2_0_1.txt_0.8.bz2.dimacs.c;479;5;0
BPPC_4_0_2.txt_0.3.bz2.dimacs.c;0;0;0
BPPC_4_0_10.txt_0.2.bz2.dimacs.c;0;0;0
BPPC_4_0_7.txt_0.8.bz2.dimacs.c;635;7;67
BPPC_1_0_7.txt_0.6.bz2.dimacs.c;627;7;0
BPPC_2_0_6.txt_0.7.bz2.dimacs.c;656;7;2
BPPC_8_0_1.txt_0.8.bz2.dimacs.c;2664;6;6
BPPC_1_0_1.txt_0.8.bz2.dimacs.c;423;5;0
BPPC_7_0_4.txt_0.2.bz2.dimacs.c;10219;25;107437
BPPC_8_0_5.txt_0.9.bz2.dimacs.c;2163;5;1
BPPC_1_0_8.txt_0.8.bz2.dimacs.c;431;4;0
BPPC_7_0_7.txt_0.8.bz2.dimacs.c;2267;5;0
BPPC_4_0_5.txt_0.6.bz2.dimacs.c;994;11;12365
BPPC_7_0_4.txt_0.8.bz2.dimacs.c;2434;6;0
BPPC_1_0_7.txt_0.5.bz2.dimacs.c;762;9;1
BPPC_4_0_3.txt_0.9.bz2.dimacs.c;484;5;9
BPPC_3_0_9.txt_0.3.bz2.dimacs.c;0;0;0
BPPC_2_0_7.txt_0.4.bz2.dimacs.c;1252;13;297
BPPC_7_0_4.txt_0.7.bz2.dimacs.c;2830;7;2
BPPC_1_0_5.txt_0.7.bz2.dimacs.c;534;6;0
BPPC_4_0_8.txt_0.8.bz2.dimacs.c;697;7;61
BPPC_4_0_1.txt_0.9.bz2.dimacs.c;504;5;8
BPPC_1_0_8.txt_0.2.bz2.dimacs.c;1600;20;88
BPPC_2_0_10.txt_0.7.bz2.dimacs.c;625;6;2
BPPC_5_0_7.txt_0.4.bz2.dimacs.c;3492;9;0
BPPC_2_0_5.txt_0.8.bz2.dimacs.c;519;6;0
BPPC_3_0_4.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_3_0_1.txt_0.6.bz2.dimacs.c;935;10;251
BPPC_3_0_8.txt_0.2.bz2.dimacs.c;0;0;0
BPPC_6_0_5.txt_0.3.bz2.dimacs.c;5560;14;20
BPPC_6_0_6.txt_0.8.bz2.dimacs.c;2105;5;0
BPPC_5_0_8.txt_0.3.bz2.dimacs.c;4294;12;0
BPPC_5_0_9.txt_0.7.bz2.dimacs.c;2157;6;0
BPPC_5_0_1.txt_0.1.bz2.dimacs.c;8307;24;0
BPPC_3_0_5.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_2_0_8.txt_0.2.bz2.dimacs.c;2147;24;201982
BPPC_2_0_9.txt_0.5.bz2.dimacs.c;965;11;52
BPPC_4_0_7.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_4_0_7.txt_0.3.bz2.dimacs.c;0;0;0
BPPC_2_0_8.txt_0.8.bz2.dimacs.c;527;6;0
BPPC_7_0_10.txt_0.6.bz2.dimacs.c;3585;9;10
BPPC_8_0_3.txt_0.8.bz2.dimacs.c;2495;6;7
BPPC_8_0_6.txt_0.2.bz2.dimacs.c;0;0;0
BPPC_3_0_1.txt_0.5.bz2.dimacs.c;1119;12;2694
BPPC_5_0_6.txt_0.4.bz2.dimacs.c;3511;9;0
BPPC_5_0_4.txt_0.4.bz2.dimacs.c;3350;9;0
BPPC_5_0_2.txt_0.5.bz2.dimacs.c;2883;8;0
BPPC_4_0_5.txt_0.8.bz2.dimacs.c;665;7;61
BPPC_2_0_10.txt_0.3.bz2.dimacs.c;1523;17;4558
BPPC_6_0_4.txt_0.5.bz2.dimacs.c;3535;10;1
BPPC_2_0_4.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_1_0_6.txt_0.1.bz2.dimacs.c;2534;35;801
BPPC_2_0_8.txt_0.6.bz2.dimacs.c;793;9;10
BPPC_4_0_8.txt_0.5.bz2.dimacs.c;1273;14;291277
BPPC_2_0_7.txt_0.2.bz2.dimacs.c;2102;25;191010
BPPC_5_0_7.txt_0.1.bz2.dimacs.c;8476;24;0
BPPC_6_0_8.txt_0.7.bz2.dimacs.c;2491;6;0
BPPC_1_0_10.txt_0.4.bz2.dimacs.c;939;11;3
BPPC_4_0_2.txt_0.7.bz2.dimacs.c;914;9;597
BPPC_2_0_8.txt_0.9.bz2.dimacs.c;411;4;0
BPPC_5_0_10.txt_0.8.bz2.dimacs.c;1507;4;0
BPPC_1_0_2.txt_0.6.bz2.dimacs.c;648;6;0
BPPC_1_0_7.txt_0.8.bz2.dimacs.c;404;5;0
BPPC_1_0_4.txt_0.9.bz2.dimacs.c;334;4;0
BPPC_4_0_1.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_6_0_9.txt_0.3.bz2.dimacs.c;5546;14;18
BPPC_7_0_9.txt_0.7.bz2.dimacs.c;3007;8;2
BPPC_3_0_10.txt_0.4.bz2.dimacs.c;1386;15;54458
BPPC_7_0_6.txt_0.7.bz2.dimacs.c;3330;8;1
BPPC_1_0_9.txt_0.6.bz2.dimacs.c;595;7;0
BPPC_7_0_10.txt_0.4.bz2.dimacs.c;5539;13;338
BPPC_4_0_8.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_7_0_5.txt_0.9.bz2.dimacs.c;1805;4;0
BPPC_5_0_7.txt_0.2.bz2.dimacs.c;6036;16;0
BPPC_2_0_9.txt_0.8.bz2.dimacs.c;530;6;0
BPPC_8_0_3.txt_0.2.bz2.dimacs.c;0;0;0
BPPC_4_0_6.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_4_0_5.txt_0.2.bz2.dimacs.c;0;0;0
BPPC_8_0_2.txt_0.7.bz2.dimacs.c;3347;8;35
BPPC_2_0_10.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_7_0_4.txt_0.4.bz2.dimacs.c;5378;13;356
BPPC_4_0_8.txt_0.9.bz2.dimacs.c;504;5;8
BPPC_4_0_9.txt_0.9.bz2.dimacs.c;490;5;8
BPPC_7_0_1.txt_0.3.bz2.dimacs.c;7183;19;3742
BPPC_6_0_7.txt_0.8.bz2.dimacs.c;1914;5;0
BPPC_3_0_1.txt_0.2.bz2.dimacs.c;0;0;0
BPPC_8_0_8.txt_0.5.bz2.dimacs.c;5141;13;2765
BPPC_4_0_10.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_6_0_6.txt_0.9.bz2.dimacs.c;1642;4;0
BPPC_5_0_1.txt_0.8.bz2.dimacs.c;1760;4;0
BPPC_6_0_1.txt_0.9.bz2.dimacs.c;1488;4;0
BPPC_2_0_10.txt_0.6.bz2.dimacs.c;763;9;10
BPPC_8_0_9.txt_0.9.bz2.dimacs.c;2060;5;1
BPPC_2_0_2.txt_0.8.bz2.dimacs.c;516;6;0
BPPC_3_0_7.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_6_0_2.txt_0.6.bz2.dimacs.c;2820;8;0
BPPC_4_0_5.txt_0.3.bz2.dimacs.c;0;0;0
BPPC_1_0_1.txt_0.5.bz2.dimacs.c;744;8;1
BPPC_2_0_1.txt_0.4.bz2.dimacs.c;1128;14;393
BPPC_3_0_5.txt_0.2.bz2.dimacs.c;0;0;0
BPPC_4_0_2.txt_0.5.bz2.dimacs.c;1284;13;291285
BPPC_2_0_3.txt_0.3.bz2.dimacs.c;1487;17;4860
BPPC_4_0_9.txt_0.7.bz2.dimacs.c;838;9;745
BPPC_2_0_9.txt_0.6.bz2.dimacs.c;772;9;9
BPPC_5_0_3.txt_0.7.bz2.dimacs.c;1971;5;0
BPPC_7_0_6.txt_0.5.bz2.dimacs.c;4261;10;48
BPPC_1_0_2.txt_0.3.bz2.dimacs.c;1269;14;13
BPPC_5_0_4.txt_0.3.bz2.dimacs.c;4455;12;0
BPPC_6_0_4.txt_0.2.bz2.dimacs.c;7520;20;95
BPPC_1_0_7.txt_0.4.bz2.dimacs.c;861;11;5
BPPC_7_0_9.txt_0.3.bz2.dimacs.c;7342;19;4277
BPPC_3_0_1.txt_0.3.bz2.dimacs.c;0;0;0
BPPC_6_0_8.txt_0.4.bz2.dimacs.c;4594;12;3
BPPC_3_0_2.txt_0.7.bz2.dimacs.c;705;8;35
BPPC_3_0_7.txt_0.8.bz2.dimacs.c;572;6;6
BPPC_1_0_6.txt_0.9.bz2.dimacs.c;308;3;0
BPPC_6_0_10.txt_0.7.bz2.dimacs.c;2341;6;0
BPPC_8_0_2.txt_0.4.bz2.dimacs.c;6488;16;53524
BPPC_7_0_1.txt_0.5.bz2.dimacs.c;4511;10;41
BPPC_3_0_10.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_3_0_5.txt_0.9.bz2.dimacs.c;455;5;1
BPPC_7_0_9.txt_0.2.bz2.dimacs.c;9986;25;152828
